target_label,xBmin,xBmax,Q2min,Q2max,t_abs_min,t_abs_max,n_pass1,n_pass2,fit_ok,A,A_err,B,pass1_fit_chi2,pass1_fit_ndf,pass1_fit_chi2_ndf,pass2_vs_pass1_fit_chi2,pass2_vs_pass1_fit_ndf,pass2_vs_pass1_fit_chi2_ndf,pass2_vs_pass1_fit_pseudo_sigma,output_file
10.6 GeV,0.155,0.204,2.51,3.295,0.15,0.25,20,20,1,0.219863085271,0.0287465179523,0.0541600043993,39.5317565441,18,2.19620869689,32.4831341947,20,1.62415670973,1.97375681963,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_056_10p6_GeV_average_xB_0p155_0p204_Q2_2p51_3p295_t_0p15_0p25.png
10.6 GeV,0.155,0.204,2.51,3.295,0.25,0.4,23,23,1,0.216260079969,0.0200118907355,-0.132889202486,18.5134407096,21,0.881592414743,35.1588523221,23,1.52864575314,1.79272497097,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_057_10p6_GeV_average_xB_0p155_0p204_Q2_2p51_3p295_t_0p25_0p4.png
10.6 GeV,0.155,0.204,2.51,3.295,0.4,0.6,16,15,1,0.107591476603,0.0140635291476,-0.737233195163,14.9881588833,14,1.07058277738,25.5829188086,15,1.70552792057,1.93216778524,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_058_10p6_GeV_average_xB_0p155_0p204_Q2_2p51_3p295_t_0p4_0p6.png
10.6 GeV,0.155,0.204,2.51,3.295,0.6,0.8,3,13,1,0.287684072524,0.0533943119122,0.0757113730504,1.28705273954,1,1.28705273954,11.4381005419,13,0.879853887842,-0.306313685188,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_059_10p6_GeV_average_xB_0p155_0p204_Q2_2p51_3p295_t_0p6_0p8.png
10.6 GeV,0.204,0.268,1.456,1.912,0.15,0.25,22,11,1,0.195047814563,0.0183452439623,-0.675686757417,16.373245248,20,0.818662262398,29.8261951428,11,2.71147228571,4.01375829069,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_060_10p6_GeV_average_xB_0p204_0p268_Q2_1p456_1p912_t_0p15_0p25.png
10.6 GeV,0.204,0.268,1.456,1.912,0.25,0.4,17,11,1,0.255519518798,0.0421816318977,-0.347474795634,46.0066010847,15,3.06710673898,45.4501460646,11,4.13183146042,7.34479581954,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_061_10p6_GeV_average_xB_0p204_0p268_Q2_1p456_1p912_t_0p25_0p4.png
10.6 GeV,0.204,0.268,1.456,1.912,0.4,0.6,1,5,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_062_10p6_GeV_average_xB_0p204_0p268_Q2_1p456_1p912_t_0p4_0p6.png
10.6 GeV,0.204,0.268,1.456,1.912,0.6,0.8,15,5,1,0.113057731381,0.0308645366983,-0.681401339367,14.6023212851,13,1.12325548347,11.2801400648,5,2.25602801296,1.98595466297,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_063_10p6_GeV_average_xB_0p204_0p268_Q2_1p456_1p912_t_0p6_0p8.png
10.6 GeV,0.204,0.268,1.456,1.912,0.8,1,0,3,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_064_10p6_GeV_average_xB_0p204_0p268_Q2_1p456_1p912_t_0p8_1.png
10.6 GeV,0.204,0.268,1.912,2.51,0.15,0.25,10,15,1,0.331625499836,0.0373869931674,-0.0582504545035,3.97409648475,8,0.496762060593,6.77073795684,15,0.451382530456,-1.50245081755,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_065_10p6_GeV_average_xB_0p204_0p268_Q2_1p912_2p51_t_0p15_0p25.png
10.6 GeV,0.204,0.268,1.912,2.51,0.25,0.4,4,18,1,0.267004529638,0.048269758879,-0.949999951776,3.87310753875,2,1.93655376938,724.703580516,18,40.2613100286,117.783930086,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_066_10p6_GeV_average_xB_0p204_0p268_Q2_1p912_2p51_t_0p25_0p4.png
10.6 GeV,0.204,0.268,1.912,2.51,0.4,0.6,4,17,1,0.181737229291,0.142312754332,-0.949999951776,7.16994873112,2,3.58497436556,236.314288858,17,13.9008405211,37.6120902407,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_067_10p6_GeV_average_xB_0p204_0p268_Q2_1p912_2p51_t_0p4_0p6.png
10.6 GeV,0.204,0.268,1.912,2.51,0.6,0.8,1,15,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_068_10p6_GeV_average_xB_0p204_0p268_Q2_1p912_2p51_t_0p6_0p8.png
10.6 GeV,0.204,0.268,1.912,2.51,0.8,1,8,13,1,0.0873910084075,0.0530880801931,0.843525227672,4.88412419887,6,0.814020699811,16.1966362616,13,1.24589509704,0.626911949061,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_069_10p6_GeV_average_xB_0p204_0p268_Q2_1p912_2p51_t_0p8_1.png
10.6 GeV,0.204,0.268,2.51,3.295,0.15,0.25,16,17,1,0.359816953373,0.0273468394229,-0.147972900446,15.5918627677,14,1.11370448341,24.1454108237,17,1.42031828375,1.22542784652,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_070_10p6_GeV_average_xB_0p204_0p268_Q2_2p51_3p295_t_0p15_0p25.png
10.6 GeV,0.204,0.268,2.51,3.295,0.25,0.4,21,22,1,0.330242486157,0.0308890480575,-0.331732119252,24.8382429952,19,1.30727594712,55.6983528738,22,2.53174331244,5.08021784251,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_071_10p6_GeV_average_xB_0p204_0p268_Q2_2p51_3p295_t_0p25_0p4.png
10.6 GeV,0.204,0.268,2.51,3.295,0.4,0.6,1,22,0,0,0,0,0,0,,0,0,,0,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_072_10p6_GeV_average_xB_0p204_0p268_Q2_2p51_3p295_t_0p4_0p6.png
10.6 GeV,0.204,0.268,2.51,3.295,0.6,0.8,20,17,1,0.265621828887,0.0336332972285,-0.304321561213,26.053385474,18,1.44741030411,29.422881433,17,1.73075773135,2.13050658915,../output/pass2_vs_pass1_model_comparison/pass1_pass2_bsa_comparison/10p6_GeV_average/bsa_073_10p6_GeV_average_xB_0p204_0p268_Q2_2p51_3p295_t_0p6_0p8.png
