# phi(rad) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
5.92087 1.98217 0.14321 -1.08137 10.2 -0.110957 0.0681173
6.1476 1.98647 0.142632 -1.31037 10.2 0.0130041 0.0870621
0.195831 2.09693 0.203895 -1.25165 10.2 -0.0278717 0.0645323
0.387416 2.17718 0.183298 -1.05438 10.2 0.0187117 0.0637355
0.80181 2.12246 0.204704 -1.11044 10.2 0.128113 0.0840625
1.16429 2.15078 0.197791 -1.14589 10.2 0.11686 0.133467
2.60396 2.08521 0.206158 -1.21752 10.2 0.0650039 0.134623
3.19089 2.0888 0.211754 -1.31129 10.2 0.0574452 0.124838
4.57481 2.09109 0.202712 -1.32689 10.2 -0.0104943 0.147765
4.97838 2.08923 0.202649 -1.10407 10.2 0.0360523 0.125047
5.61106 2.1528 0.197374 -1.05293 10.2 0.0759827 0.0922088
5.93761 2.14677 0.188855 -1.10161 10.2 -0.0183127 0.0483487
6.12308 2.10534 0.207318 -1.33546 10.2 0.0083249 0.060034
0.093743 2.68519 0.184896 -0.180281 10.2 0.0116763 0.0350254
0.283437 2.6795 0.183302 -0.181784 10.2 0.0143155 0.0332982
0.461664 2.65978 0.180468 -0.18397 10.2 0.0840181 0.0434986
0.640192 2.63922 0.178407 -0.18822 10.2 0.0433752 0.086911
1.00221 2.53115 0.18438 -0.177148 10.2 0.0786783 0.120694
1.63675 2.59738 0.195044 -0.188859 10.2 0.253842 0.0737312
2.22597 2.62679 0.190334 -0.184097 10.2 0.32266 0.0649086
2.74305 2.63855 0.191681 -0.198219 10.2 -0.0113255 0.0943609
3.31677 2.61088 0.187638 -0.196045 10.2 -0.115091 0.115246
5.63783 2.64424 0.17767 -0.185876 10.2 -0.140645 0.112677
5.81656 2.65685 0.180301 -0.185923 10.2 -0.059704 0.0517021
5.99971 2.68668 0.183489 -0.180286 10.2 -0.149684 0.0396479
6.18882 2.68311 0.185036 -0.180449 10.2 -0.0756371 0.0349169
0.100623 2.84627 0.260952 -0.217643 10.2 0.0281924 0.0527038
0.284997 2.7973 0.266002 -0.212808 10.2 0.0725075 0.0530535
0.475853 2.76677 0.268896 -0.216362 10.2 0.208214 0.051634
0.65683 2.77997 0.266032 -0.210971 10.2 0.273676 0.0521684
0.844693 2.77052 0.261555 -0.206998 10.2 0.247133 0.0665796
1.03623 2.76525 0.25822 -0.208778 10.2 0.257047 0.0750758
1.22565 2.80099 0.254866 -0.212268 10.2 0.249813 0.0753929
1.40719 2.78299 0.249736 -0.208659 10.2 0.456992 0.058722
1.68752 2.7826 0.24401 -0.211906 10.2 0.498534 0.055594
2.11161 2.80633 0.248803 -0.223847 10.2 0.342191 0.0685136
2.67165 2.8345 0.249565 -0.23565 10.2 0.0419558 0.102754
3.23786 2.80804 0.256624 -0.244342 10.2 -0.151178 0.109172
3.88488 2.78762 0.26631 -0.243037 10.2 -0.113908 0.126171
4.60413 2.76061 0.257863 -0.218092 10.2 -0.580404 0.154738
5.13466 2.76687 0.276821 -0.220475 10.2 -0.373527 0.0932353
5.5969 2.76874 0.277485 -0.209057 10.2 -0.360416 0.0838705
5.81457 2.81157 0.272557 -0.215599 10.2 -0.364693 0.0938095
6.00135 2.81197 0.267033 -0.210471 10.2 -0.114714 0.0628445
6.18726 2.85925 0.265936 -0.221089 10.2 -0.255481 0.0701794
0.098589 2.83325 0.383648 -0.308571 10.2 0.131694 0.0996674
0.318227 2.85241 0.381133 -0.306579 10.2 0.0884076 0.105262
0.520595 2.86247 0.379809 -0.309798 10.2 0.0388802 0.116598
0.80964 2.80087 0.384287 -0.317305 10.2 0.207393 0.102956
1.25886 2.86793 0.381611 -0.317673 10.2 0.0553246 0.122873
1.85244 2.85722 0.394057 -0.326117 10.2 0.555882 0.100086
3.83797 2.86793 0.377011 -0.320073 10.2 -0.108496 0.178505
4.41092 2.90465 0.401404 -0.322464 10.2 0.0335076 0.175474
5.05205 2.80504 0.399963 -0.322812 10.2 -0.226327 0.172983
5.52833 2.79946 0.381365 -0.302705 10.2 0.0849847 0.104006
5.88875 2.80918 0.385963 -0.309227 10.2 -0.135714 0.113728
6.15947 2.81571 0.382131 -0.310418 10.2 0.0439917 0.103552
0.0954499 2.63882 0.195602 -0.311717 10.2 0.14309 0.0358677
0.289529 2.67208 0.193862 -0.31858 10.2 0.0951029 0.0340945
0.471858 2.69878 0.188019 -0.322477 10.2 0.139608 0.0296287
0.640881 2.67482 0.181855 -0.325861 10.2 0.153944 0.0405486
0.851202 2.60856 0.177672 -0.3235 10.2 0.311101 0.122325
1.74323 2.65415 0.192672 -0.31922 10.2 0.265784 0.0767745
2.24479 2.64995 0.191403 -0.318842 10.2 0.335962 0.064942
2.59851 2.62139 0.190109 -0.317698 10.2 -0.033104 0.099227
2.93788 2.61833 0.190753 -0.321307 10.2 0.0856304 0.0872671
3.4552 2.615 0.191939 -0.32564 10.2 0.0240557 0.102742
4.03343 2.71815 0.195167 -0.34073 10.2 -0.444091 0.166651
4.69299 2.65834 0.190905 -0.361293 10.2 -0.12967 0.102148
5.48769 2.63072 0.178778 -0.322963 10.2 -0.318817 0.0825189
5.69687 2.67908 0.183732 -0.333204 10.2 -0.0442793 0.0366096
5.86946 2.6857 0.189842 -0.323663 10.2 -0.10433 0.0317591
6.11338 2.66102 0.19531 -0.313129 10.2 -0.0468691 0.0300341
0.0910332 2.92166 0.23925 -0.358115 10.2 0.0785074 0.0429653
0.283182 2.91759 0.246932 -0.365969 10.2 0.0920092 0.0460792
0.469244 2.92513 0.255145 -0.36312 10.2 0.237835 0.0504992
0.645123 2.84 0.267561 -0.362746 10.2 0.179849 0.0715418
0.901268 2.8117 0.275331 -0.347989 10.2 0.405792 0.0636323
1.26214 2.82223 0.261867 -0.345421 10.2 0.427738 0.0609932
1.56458 2.83938 0.258788 -0.345231 10.2 0.336794 0.075706
1.8182 2.8135 0.253339 -0.353729 10.2 0.34717 0.0703325
2.06575 2.84607 0.252069 -0.356445 10.2 0.155353 0.0947896
2.37009 2.79928 0.254949 -0.36059 10.2 0.243799 0.0792064
2.60848 2.84276 0.253263 -0.368302 10.2 -0.0841826 0.119734
2.82718 2.83123 0.250247 -0.359038 10.2 0.0410112 0.108231
3.08471 2.78728 0.256898 -0.364506 10.2 0.107844 0.0939725
3.31796 2.82172 0.25931 -0.378198 10.2 -0.0159166 0.104201
3.70666 2.78171 0.256713 -0.377501 10.2 -0.0914631 0.116625
4.19559 2.80358 0.266814 -0.366956 10.2 -0.0687162 0.103379
4.80952 2.89185 0.248767 -0.375033 10.2 -0.29739 0.108798
5.58259 3.03012 0.238204 -0.379187 10.2 -0.170878 0.106107
5.87915 3.01426 0.235369 -0.363514 10.2 -0.0327145 0.06635
6.13525 2.93959 0.241504 -0.358294 10.2 0.00587702 0.0336685
0.124804 2.86272 0.384802 -0.485335 10.2 -0.10564 0.102247
0.449994 2.87108 0.377412 -0.466731 10.2 0.336631 0.0654903
0.833037 2.86528 0.373835 -0.455236 10.2 0.219809 0.0957939
1.39596 2.91218 0.379097 -0.466055 10.2 0.129282 0.162541
1.97799 2.83006 0.391277 -0.47304 10.2 0.177901 0.133356
2.52508 2.8719 0.38837 -0.493997 10.2 -0.0185757 0.177002
3.9255 2.77568 0.385242 -0.499069 10.2 -0.316461 0.253284
5.19226 2.80378 0.380862 -0.454223 10.2 -0.241717 0.186435
5.75443 2.8624 0.38122 -0.461134 10.2 -0.139862 0.12032
6.13917 2.85482 0.380076 -0.479556 10.2 -0.159634 0.0909607
0.260415 2.53161 0.2021 -0.525025 10.2 0.15354 0.0671879
0.484122 2.65923 0.19205 -0.606507 10.2 0.157046 0.0360082
0.636328 2.67746 0.183199 -0.577173 10.2 0.0708785 0.0500906
2.34263 2.64277 0.190126 -0.583694 10.2 0.231829 0.0993209
2.89836 2.6109 0.188418 -0.609658 10.2 0.0930666 0.107961
3.52998 2.65161 0.192291 -0.575611 10.2 -0.0268148 0.134803
4.30172 2.65055 0.187969 -0.59922 10.2 -0.241036 0.1515
4.7535 2.64557 0.189564 -0.632621 10.2 -0.125454 0.0935874
5.43794 2.63114 0.184109 -0.569023 10.2 -0.136562 0.106926
5.70276 2.67818 0.185834 -0.584891 10.2 -0.100586 0.041228
5.85795 2.614 0.195709 -0.582413 10.2 -0.00935985 0.0426156
6.0753 2.52875 0.203369 -0.504511 10.2 -0.259811 0.0896178
0.0918737 2.82696 0.242509 -0.608022 10.2 -0.034697 0.0395356
0.278558 2.84335 0.234187 -0.615785 10.2 0.0934845 0.041578
0.460919 3.0125 0.225104 -0.620987 10.2 -0.000849172 0.0588296
0.791567 2.96754 0.243038 -0.637258 10.2 0.438559 0.0844896
