bin 	 bin	 xB 	 xB 	 xB 	 Q2 	 Q2 	 Q2 	 |t| 	 |t| 	 |t| 	 t_min 	 t_col  
number 	name 	 min. 	 max. 	 avg. 	  min. 	 max. 	 avg. 	 min. 	 max. 	 avg. 	  	  
87 	 (4, 3, 1) 	 0.204 	 0.268 	 0.230 	 1.912 	 2.510 	 2.214 	 0.150 	 0.250 	 0.196 	 0.058 	 1.286
88 	 (4, 3, 2) 	 0.204 	 0.268 	 0.230 	 1.912 	 2.510 	 2.212 	 0.250 	 0.400 	 0.319 	 0.058 	 1.286
89 	 (4, 3, 3) 	 0.204 	 0.268 	 0.230 	 1.912 	 2.510 	 2.207 	 0.400 	 0.600 	 0.494 	 0.058 	 1.284
90 	 (4, 3, 4) 	 0.204 	 0.268 	 0.229 	 1.912 	 2.510 	 2.201 	 0.600 	 0.800 	 0.699 	 0.057 	 1.280
91 	 (4, 3, 5) 	 0.204 	 0.268 	 0.228 	 1.912 	 2.510 	 2.193 	 0.800 	 1.000 	 0.905 	 0.056 	 1.271
92 	 (4, 4, 1) 	 0.204 	 0.268 	 0.228 	 2.510 	 3.295 	 2.928 	 0.150 	 0.250 	 0.196 	 0.057 	 1.221
93 	 (4, 4, 2) 	 0.204 	 0.268 	 0.228 	 2.510 	 3.295 	 2.929 	 0.250 	 0.400 	 0.319 	 0.057 	 1.220
94 	 (4, 4, 3) 	 0.204 	 0.268 	 0.227 	 2.510 	 3.295 	 2.932 	 0.400 	 0.600 	 0.494 	 0.057 	 1.211
95 	 (4, 4, 4) 	 0.204 	 0.268 	 0.226 	 2.510 	 3.295 	 2.931 	 0.600 	 0.800 	 0.697 	 0.056 	 1.201
96 	 (4, 4, 5) 	 0.204 	 0.268 	 0.228 	 2.510 	 3.295 	 2.897 	 0.800 	 1.000 	 0.897 	 0.057 	 1.224
97 	 (4, 5, 1) 	 0.204 	 0.268 	 0.241 	 3.295 	 4.326 	 3.621 	 0.150 	 0.250 	 0.196 	 0.065 	 1.087
98 	 (4, 5, 2) 	 0.204 	 0.268 	 0.241 	 3.295 	 4.326 	 3.621 	 0.250 	 0.400 	 0.319 	 0.065 	 1.084
99 	 (4, 5, 3) 	 0.204 	 0.268 	 0.240 	 3.295 	 4.326 	 3.617 	 0.400 	 0.600 	 0.495 	 0.065 	 1.072
100 	 (4, 5, 4) 	 0.204 	 0.268 	 0.241 	 3.295 	 4.326 	 3.625 	 0.600 	 0.800 	 0.694 	 0.065 	 1.075
104 	 (5, 2, 1) 	 0.268 	 0.357 	 0.300 	 1.200 	 1.912 	 1.692 	 0.150 	 0.250 	 0.197 	 0.102 	 1.325
105 	 (5, 2, 2) 	 0.268 	 0.357 	 0.301 	 1.200 	 1.912 	 1.690 	 0.250 	 0.400 	 0.320 	 0.102 	 1.325
106 	 (5, 2, 3) 	 0.268 	 0.357 	 0.301 	 1.200 	 1.912 	 1.684 	 0.400 	 0.600 	 0.496 	 0.102 	 1.322
107 	 (5, 2, 4) 	 0.268 	 0.357 	 0.300 	 1.200 	 1.912 	 1.674 	 0.600 	 0.800 	 0.701 	 0.102 	 1.315
108 	 (5, 2, 5) 	 0.268 	 0.357 	 0.299 	 1.200 	 1.912 	 1.656 	 0.800 	 1.000 	 0.908 	 0.101 	 1.303
109 	 (5, 3, 1) 	 0.268 	 0.357 	 0.303 	 1.912 	 2.510 	 2.209 	 0.150 	 0.250 	 0.197 	 0.107 	 1.575
110 	 (5, 3, 2) 	 0.268 	 0.357 	 0.304 	 1.912 	 2.510 	 2.206 	 0.250 	 0.400 	 0.319 	 0.108 	 1.577
111 	 (5, 3, 3) 	 0.268 	 0.357 	 0.304 	 1.912 	 2.510 	 2.201 	 0.400 	 0.600 	 0.494 	 0.108 	 1.575
112 	 (5, 3, 4) 	 0.268 	 0.357 	 0.304 	 1.912 	 2.510 	 2.194 	 0.600 	 0.800 	 0.697 	 0.107 	 1.572
113 	 (5, 3, 5) 	 0.268 	 0.357 	 0.304 	 1.912 	 2.510 	 2.183 	 0.800 	 1.000 	 0.901 	 0.107 	 1.566
114 	 (5, 4, 1) 	 0.268 	 0.357 	 0.302 	 2.510 	 3.295 	 2.907 	 0.150 	 0.250 	 0.197 	 0.108 	 1.759
115 	 (5, 4, 2) 	 0.268 	 0.357 	 0.304 	 2.510 	 3.295 	 2.905 	 0.250 	 0.400 	 0.318 	 0.109 	 1.766
116 	 (5, 4, 3) 	 0.268 	 0.357 	 0.303 	 2.510 	 3.295 	 2.901 	 0.400 	 0.600 	 0.492 	 0.109 	 1.765
117 	 (5, 4, 4) 	 0.268 	 0.357 	 0.303 	 2.510 	 3.295 	 2.896 	 0.600 	 0.800 	 0.695 	 0.109 	 1.762
118 	 (5, 4, 5) 	 0.268 	 0.357 	 0.303 	 2.510 	 3.295 	 2.890 	 0.800 	 1.000 	 0.898 	 0.108 	 1.758
119 	 (5, 5, 2) 	 0.268 	 0.357 	 0.301 	 3.295 	 4.326 	 3.843 	 0.250 	 0.400 	 0.318 	 0.109 	 1.710
120 	 (5, 5, 3) 	 0.268 	 0.357 	 0.301 	 3.295 	 4.326 	 3.844 	 0.400 	 0.600 	 0.491 	 0.109 	 1.706
121 	 (5, 5, 4) 	 0.268 	 0.357 	 0.300 	 3.295 	 4.326 	 3.847 	 0.600 	 0.800 	 0.695 	 0.108 	 1.695
122 	 (5, 5, 5) 	 0.268 	 0.357 	 0.299 	 3.295 	 4.326 	 3.850 	 0.800 	 1.000 	 0.897 	 0.107 	 1.680
123 	 (5, 6, 2) 	 0.268 	 0.357 	 0.319 	 4.326 	 5.761 	 4.777 	 0.250 	 0.400 	 0.318 	 0.126 	 1.558
124 	 (5, 6, 3) 	 0.268 	 0.357 	 0.319 	 4.326 	 5.761 	 4.774 	 0.400 	 0.600 	 0.491 	 0.125 	 1.552
125 	 (6, 3, 2) 	 0.357 	 0.446 	 0.384 	 1.912 	 2.510 	 2.248 	 0.250 	 0.400 	 0.320 	 0.183 	 1.788
126 	 (6, 3, 3) 	 0.357 	 0.446 	 0.384 	 1.912 	 2.510 	 2.245 	 0.400 	 0.600 	 0.493 	 0.184 	 1.787
127 	 (6, 3, 4) 	 0.357 	 0.446 	 0.384 	 1.912 	 2.510 	 2.238 	 0.600 	 1.000 	 0.697 	 0.183 	 1.783
129 	 (6, 4, 2) 	 0.357 	 0.446 	 0.394 	 2.510 	 3.295 	 2.899 	 0.250 	 0.400 	 0.320 	 0.200 	 2.137
130 	 (6, 4, 3) 	 0.357 	 0.446 	 0.395 	 2.510 	 3.295 	 2.894 	 0.400 	 0.600 	 0.492 	 0.202 	 2.139
131 	 (6, 4, 4) 	 0.357 	 0.446 	 0.395 	 2.510 	 3.295 	 2.889 	 0.600 	 1.000 	 0.694 	 0.202 	 2.137
133 	 (6, 5, 2) 	 0.357 	 0.446 	 0.393 	 3.295 	 4.326 	 3.816 	 0.250 	 0.400 	 0.320 	 0.205 	 2.416
134 	 (6, 5, 3) 	 0.357 	 0.446 	 0.394 	 3.295 	 4.326 	 3.813 	 0.400 	 0.600 	 0.491 	 0.207 	 2.424
135 	 (6, 5, 4) 	 0.357 	 0.446 	 0.394 	 3.295 	 4.326 	 3.809 	 0.600 	 1.000 	 0.693 	 0.206 	 2.423
137 	 (6, 6, 2) 	 0.357 	 0.446 	 0.391 	 4.326 	 5.761 	 5.093 	 0.250 	 0.400 	 0.321 	 0.206 	 2.361
138 	 (6, 6, 3) 	 0.357 	 0.446 	 0.392 	 4.326 	 5.761 	 5.092 	 0.400 	 0.600 	 0.490 	 0.208 	 2.379
139 	 (6, 6, 4) 	 0.357 	 0.446 	 0.392 	 4.326 	 5.761 	 5.091 	 0.600 	 0.800 	 0.692 	 0.208 	 2.377
140 	 (7, 4, 3) 	 0.446 	 0.581 	 0.467 	 2.510 	 3.295 	 3.010 	 0.400 	 0.600 	 0.492 	 0.305 	 2.397
141 	 (7, 4, 4) 	 0.446 	 0.581 	 0.467 	 2.510 	 3.295 	 3.008 	 0.600 	 0.800 	 0.694 	 0.305 	 2.395
142 	 (7, 5, 3) 	 0.446 	 0.581 	 0.486 	 3.295 	 4.326 	 3.824 	 0.400 	 0.600 	 0.496 	 0.349 	 2.860
143 	 (7, 5, 4) 	 0.446 	 0.581 	 0.491 	 3.295 	 4.326 	 3.838 	 0.600 	 1.000 	 0.693 	 0.359 	 2.887
145 	 (7, 6, 3) 	 0.446 	 0.581 	 0.487 	 4.326 	 5.761 	 5.050 	 0.400 	 0.600 	 0.499 	 0.364 	 3.242
146 	 (7, 6, 4) 	 0.446 	 0.581 	 0.501 	 4.326 	 5.761 	 5.050 	 0.600 	 1.000 	 0.692 	 0.391 	 3.338

