,xBQ2t_binnum,xBmin,xBmax,Q2min,Q2max,tmin,tmax,phimin,phimax,xB_binnum,Q2_binnum,t_binnum,phi_binnum,phi_binwidth,xB,Q2,t,phi,val,stat_err,syst_err_pointtopoint,syst_err_total,Syst. err (pi0 subtraction),Syst. err (Acceptance),Syst.err (exclusivity),Syst.err (fiducial),Syst.err (smearing),Syst.err (Frad),Syst.err (Fbin),Syst.err (Frad*Fbin)
650,36,0.118,0.155,1.456,1.912,0.25,0.4,135,150,2,2,2,9,1,0.13116450203662927,1.7058084322207265,0.3244793730902442,142.408989313838,0.09238456640131043,0.007535189965248954,0.01153689954636624,0.03151840728194769,0.0005898080353186219,0.00807341981019554,0.0014302168867124862,0.004109736063385411,0.00690563625706173,0.0008834638176996655,6.300809025300329e-05,0.0009740673612166768
651,36,0.118,0.155,1.456,1.912,0.25,0.4,150,165,2,2,2,10,1,0.13116450203662927,1.7058084322207265,0.3244793730902442,157.46205806118806,0.08548485798570948,0.006737598572666492,0.010619599758815356,0.02914413483681098,0.0005883873880222464,0.006909497456374238,0.005620131599009472,0.0017667905529738161,0.005453465481970147,0.0005481833539182028,9.992609762626858e-05,0.000490744748421487
652,36,0.118,0.155,1.456,1.912,0.25,0.4,165,180,2,2,2,11,1,0.13116450203662927,1.7058084322207265,0.3244793730902442,172.48401384286865,0.08903667725893655,0.007703079522682705,0.011462416303659927,0.030503669218827877,0.0005031172840876597,0.005487244689832732,0.007767165904937385,0.002871631177250547,0.00568747810653394,0.0002200770939638316,0.00014289849933449451,0.0003185391741712094
653,36,0.118,0.155,1.456,1.912,0.25,0.4,180,195,2,2,2,12,1,0.13116450203662927,1.7058084322207265,0.3244793730902442,187.5203239318747,0.07613315930749927,0.009492977328776433,0.00793318491931087,0.025439973541442923,0.0006132526487660037,0.0036420505761317755,0.0009482876597734533,0.004226634856609573,0.005519399653299419,0.0002564298736811534,3.757964691728022e-05,0.00025951401510074576
654,36,0.118,0.155,1.456,1.912,0.25,0.4,195,210,2,2,2,13,1,0.13116450203662927,1.7058084322207265,0.3244793730902442,202.54583616903346,0.08612922163006177,0.010808632789228292,0.009991943938945617,0.02911340205135496,0.0007062617380226701,0.002713814823157261,0.003764672594509132,0.0019857790300622504,0.008558921214545205,0.0006158831630311941,0.00010406877565055616,0.0007772623013977519
655,36,0.118,0.155,1.456,1.912,0.25,0.4,210,225,2,2,2,14,1,0.13116450203662927,1.7058084322207265,0.3244793730902442,217.59499074887935,0.06168495326756688,0.018818701294412994,0.021419453245506606,0.029023032765062108,0.0015698496693974254,0.004671882327215751,0.008036034568797834,0.018427331003233845,0.005486832518672274,0.000444842615623677,6.0445896004829334e-05,0.0005023487742284054
657,36,0.118,0.155,1.456,1.912,0.25,0.4,240,270,2,2,2,16,2,0.13116450203662927,1.7058084322207265,0.3244793730902442,255.96257712822188,0.13308989069913704,0.023260706607168842,0.01805000974406359,0.04594830620697661,0.0004148170620628677,0.01150897462019128,0.006423011668775321,0.007045587044515723,0.009774415775608038,0.002607811841322701,0.00015265387970483485,0.002596093662424011
658,36,0.118,0.155,1.456,1.912,0.25,0.4,270,285,2,2,2,18,1,0.13116450203662927,1.7058084322207265,0.3244793730902442,277.8575100394728,0.2104027270309366,0.030327621282641097,0.03180186163019834,0.07398418078210124,0.0007716951216805932,0.015583539635766985,0.014990345554067213,0.012212693017573181,0.019259566185900266,0.004845612047976735,0.00024299810713147334,0.004808842060729196
659,36,0.118,0.155,1.456,1.912,0.25,0.4,285,300,2,2,2,19,1,0.13116450203662927,1.7058084322207265,0.3244793730902442,292.9727903548759,0.2650296175144071,0.03962957913713697,0.023963483048938312,0.08748964822439743,0.0007935964128711887,0.016137461087158234,0.004593415588672739,0.005297872777878132,0.015285288241245084,0.002808480841970816,0.0013747058875161968,0.005513085784920859
660,36,0.118,0.155,1.456,1.912,0.25,0.4,300,315,2,2,2,20,1,0.13116450203662927,1.7058084322207265,0.3244793730902442,308.07610106354895,0.40975561625674556,0.036206848017961354,0.0604208237525886,0.1434391482257339,0.0001852676302351561,0.04276796992225958,0.018003656939410452,0.01670351483297679,0.03440042866562378,0.003520813017237342,0.0012988893979679695,0.00591724633838531
