
xB     Q2     -t     phi    sig              stat-err        sys-err
0.155  1.425  0.153  262.9  1.25498          0.0629038       0.0851765
0.155  1.425  0.153  278    1.51248          0.0655081       0.117002
0.155  1.424  0.153  293    2.44785          0.110498        0.256852
0.155  1.425  0.203  66.9   1.46978          0.0785751       0.110543
0.155  1.425  0.203  82     1.23574          0.0730575       0.12156
0.155  1.426  0.203  97.1   0.871081         0.0502323       0.0575197
0.155  1.426  0.203  112.2  0.673936         0.0486245       0.043386
0.155  1.426  0.203  127.3  0.513631         0.0506593       0.0357745
0.155  1.426  0.203  142.3  0.373888         0.0328808       0.0296374
0.155  1.426  0.203  157.4  0.346519         0.0283429       0.0241273
0.155  1.426  0.203  172.5  0.394738         0.0402249       0.0362869
0.155  1.426  0.203  187.5  0.537792         0.0584703       0.0741305
0.155  1.426  0.203  202.6  0.512076         0.0449962       0.0345722
0.155  1.426  0.203  217.7  0.404218         0.0319905       0.0411958
0.155  1.426  0.203  232.7  0.500808         0.044045        0.063177
0.155  1.426  0.203  247.8  0.791379         0.0700252       0.0622993
0.155  1.426  0.203  262.9  0.71606          0.0430029       0.0503432
0.155  1.425  0.203  278    0.992932         0.0519774       0.0728702
0.155  1.425  0.203  293.1  1.4292           0.0696286       0.130279
0.155  1.424  0.263  52.1   2.03627          0.127089        0.122819
0.155  1.425  0.262  66.9   1.14692          0.0628929       0.0925145
0.155  1.426  0.262  82     0.699096         0.044346        0.0466898
0.155  1.426  0.262  97.1   0.431229         0.0271237       0.032861
0.155  1.426  0.261  112.2  0.45818          0.0344225       0.0311496
0.155  1.427  0.261  127.3  0.298908         0.0275944       0.0277003
0.155  1.427  0.261  142.3  0.254777         0.0246406       0.0188254
0.155  1.427  0.261  157.4  0.267747         0.0237329       0.0203952
0.155  1.427  0.261  172.5  0.261289         0.0260519       0.0163849
0.155  1.427  0.261  187.5  0.31149          0.0349352       0.0228307
0.155  1.427  0.261  202.6  0.240681         0.0206255       0.0145671
0.155  1.427  0.261  217.7  0.263387         0.0206149       0.0208818
0.155  1.427  0.261  232.7  0.249315         0.0207743       0.026927
0.155  1.426  0.261  247.8  0.453696         0.0420063       0.0609696
0.155  1.426  0.262  262.9  0.504702         0.034417        0.0355343
0.155  1.426  0.262  278    0.668085         0.0353229       0.0486178
0.155  1.425  0.262  293.1  1.1574           0.0593645       0.0780668
0.155  1.424  0.263  307.9  1.39109          0.0909332       0.108055
0.155  1.426  0.34   51.7   0.993066         0.0484351       0.0583576
0.155  1.426  0.34   66.9   0.914262         0.0337559       0.0571956
0.155  1.426  0.34   82     0.414815         0.0327325       0.040156
0.155  1.426  0.34   97.1   0.249216         0.0176477       0.0208718
0.155  1.427  0.34   112.2  0.264302         0.0222853       0.0249503
0.155  1.427  0.34   127.2  0.192965         0.0214061       0.0166637
0.155  1.427  0.34   142.3  0.157124         0.0175883       0.0114665
0.155  1.427  0.34   157.4  0.168577         0.0170336       0.0140966
0.155  1.427  0.34   172.5  0.110323         0.012504        0.0129405
0.155  1.427  0.34   187.5  0.136454         0.0163379       0.0102636
0.155  1.427  0.34   202.6  0.195048         0.0220595       0.0182399
0.155  1.427  0.34   217.7  0.200431         0.0194796       0.0148885
0.155  1.427  0.34   232.8  0.220722         0.0249855       0.0168223
0.155  1.427  0.34   247.8  0.20584          0.0214153       0.0157092
0.155  1.426  0.34   262.9  0.294111         0.0248628       0.019759
0.155  1.426  0.34   278    0.391512         0.0251214       0.0301308
0.155  1.426  0.34   293.1  0.952458         0.0336666       0.0588659
0.155  1.426  0.34   308.3  0.950557         0.05497         1.42664
