beam_energy_MeV,theta_deg,Q2_GeV2,GE,GE_stat,GE_syst,GE_total,beam_energy_GeV,source,normalization_note
2143,1.7105,0.004089,0.98881,0.00061,0.00142,0.001545477272560163,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,1.8935,0.005009,0.9857,0.00059,0.00141,0.0015284632805533799,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,2.1065,0.006197,0.983,0.00068,0.00149,0.00163783393541592,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,2.3525,0.007726,0.97688,0.00071,0.00155,0.0017048753620133056,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,2.642,0.009739,0.97298,0.00082,0.00155,0.0017535392781457733,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,2.942,0.012069,0.96599,0.00098,0.00141,0.0017171196813268433,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,3.242,0.014646,0.95585,0.00112,0.00146,0.001840108692441835,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,3.542,0.017469,0.94881,0.00133,0.00165,0.0021192923347193044,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,3.842,0.020537,0.9427,0.00152,0.00217,0.0026493961576178073,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,4.142,0.023848,0.93835,0.00169,0.00211,0.002703368269400231,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,4.442,0.027401,0.92141,0.00184,0.00248,0.0030880414504990054,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,4.742,0.031196,0.91766,0.002,0.00302,0.0036222092705971588,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,5.046,0.035285,0.90331,0.00219,0.00319,0.003869392717210286,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,5.4,0.040354,0.89625,0.0025,0.0039,0.004632493928760187,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,5.8,0.046477,0.88026,0.00362,0.00479,0.006004040306327065,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
2143,6.5,0.058188,0.85109,0.00377,0.00547,0.0066433274795090445,2.143,"PRad public normalized GE table; JLab PRad data/readme.pdf pp.4-5; Xiong et al., Nature 575, 147 (2019)","Published normalized GE = f(Q2)/n; n=1.0002 (1101 MeV), 0.9983 (2143 MeV)"
