# phi(rad) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
141.93597 1.60367 0.151876 -0.177274 10.6041 -0.144068 0.110288
153.33210 1.60254 0.151663 -0.179042 10.6041 0.0896505 0.100031
165.55501 1.59805 0.148978 -0.180247 10.6041 -0.144689 0.106023
181.83675 1.60966 0.150014 -0.176137 10.6041 -0.00925932 0.101214
199.44546 1.60322 0.150748 -0.179802 10.6041 -0.00935696 0.0982582
217.82996 1.60276 0.154199 -0.180942 10.6041 0.0414421 0.0988535
246.08938 1.58564 0.169035 -0.18185 10.6041 -0.166921 0.0932685
279.78847 1.60008 0.174855 -0.170263 10.6041 -0.477234 0.131936
317.80021 1.60913 0.182276 -0.148336 10.6041 -0.176149 0.0952751
333.38924 1.63872 0.16765 -0.163023 10.6041 -0.224156 0.0874888
343.97521 1.6423 0.159687 -0.166942 10.6041 -0.0713077 0.0568213
354.87688 1.62937 0.155567 -0.174111 10.6041 -0.036556 0.0429403
5.77146 1.61394 0.257403 -0.198368 10.6041 0.0294403 0.0686881
16.08625 1.60239 0.251207 -0.198664 10.6041 0.210652 0.0594872
26.78836 1.59686 0.251754 -0.18762 10.6041 0.24699 0.0663132
37.58523 1.60658 0.257214 -0.198159 10.6041 0.249776 0.0769121
49.82819 1.60843 0.254436 -0.203456 10.6041 0.308395 0.0849806
68.16422 1.59887 0.260095 -0.2029 10.6041 0.255218 0.0887917
92.43929 1.60827 0.241402 -0.202879 10.6041 0.30215 0.0876917
273.44239 1.62498 0.251732 -0.205709 10.6041 -0.290641 0.193335
308.30000 1.60223 0.267385 -0.192987 10.6041 -0.224031 0.131323
325.90928 1.59185 0.256447 -0.191418 10.6041 -0.145822 0.105071
336.95533 1.61232 0.256517 -0.190041 10.6041 -0.281233 0.102683
351.38470 1.61996 0.252511 -0.204015 10.6041 -0.0275351 0.0553009
5.95114 1.48328 0.125891 -0.241116 10.6041 -0.00345378 0.0674262
16.90919 1.51174 0.124172 -0.259521 10.6041 0.0941391 0.0440952
27.59777 1.54869 0.120064 -0.288331 10.6041 0.156746 0.0258791
37.93382 1.57597 0.112074 -0.300369 10.6041 0.179279 0.0201438
47.71392 1.56833 0.10452 -0.292301 10.6041 0.222575 0.0238946
58.32424 1.55214 0.100876 -0.281665 10.6041 0.360567 0.0578003
115.90822 1.57103 0.115145 -0.294277 10.6041 0.172105 0.0725925
131.25718 1.55165 0.1123 -0.293211 10.6041 0.0510688 0.105795
142.45507 1.54205 0.111974 -0.289436 10.6041 0.126266 0.0855284
153.05995 1.54085 0.111868 -0.301992 10.6041 0.052857 0.0858044
163.99599 1.55638 0.115283 -0.299706 10.6041 0.00338646 0.0845997
174.68223 1.53732 0.113641 -0.29859 10.6041 -0.22227 0.109174
184.61445 1.55494 0.114334 -0.299758 10.6041 0.00418913 0.0962704
201.39581 1.55532 0.114816 -0.28726 10.6041 -0.060967 0.111244
230.71349 1.56081 0.11403 -0.305551 10.6041 0.0768908 0.0951209
257.79262 1.55469 0.114531 -0.3198 10.6041 -0.180213 0.0948946
277.16776 1.52136 0.117396 -0.315608 10.6041 -0.285237 0.0892303
298.20276 1.55002 0.100969 -0.270762 10.6041 -0.210341 0.115412
308.79274 1.57011 0.103718 -0.280262 10.6041 -0.208143 0.039733
318.88997 1.57561 0.109509 -0.294835 10.6041 -0.147022 0.0237432
328.86402 1.56542 0.118347 -0.296659 10.6041 -0.11932 0.0248295
339.07299 1.51198 0.123228 -0.277345 10.6041 -0.146978 0.0379439
351.51992 1.48651 0.125252 -0.24287 10.6041 0.00824126 0.062672
5.33205 1.59456 0.147913 -0.306927 10.6041 0.0145343 0.0256849
15.92622 1.61132 0.145839 -0.315641 10.6041 0.127105 0.0257516
