selection,variable,bin_label,x_center,x_low,x_high,pair_label,numerator_period,denominator_period,n_rows,mean_acc_num,mean_acc_den,sem_acc_num,sem_acc_den,ratio,ratio_err,mean_gen_num,mean_gen_den,mean_reco_num,mean_reco_den,mean_reco_cc_num,mean_reco_cc_den,abs_log_ratio,percent_deviation,gen_ratio,reco_ratio,reco_cc_ratio
all_data,xB,0.204-0.268,0.236,0.204,0.268,Fa18 Out / Sp18 Out,Fa18 Out,Sp18 Out,278,0.08105435083911289,0.06796508285399472,0.0024534887970127043,0.0021247068726917002,1.1925881266596416,0.051895396361109195,38306.712230215824,34215.94244604316,2895.7805755395684,2004.6726618705036,3477.333085578324,2576.8931912781845,0.1761258418126346,19.258812665964165,1.1195574194872346,1.4445154217036098,1.3494284890610873
all_data,xB,0.268-0.357,0.3125,0.268,0.357,Fa18 Out / Sp18 Out,Fa18 Out,Sp18 Out,228,0.06672959635895052,0.059648368598103324,0.0023098967938432018,0.0022297128375158843,1.1187162017549692,0.05699513320323714,24256.798245614034,21705.71052631579,1366.2587719298247,951.25,1640.6411698539318,1222.7780100099508,0.1121817794287598,11.871620175496922,1.1175307169145803,1.4362772898079628,1.3417326419213087
all_data,xB,0.357-0.446,0.40149999999999997,0.357,0.446,Fa18 Out / Sp18 Out,Fa18 Out,Sp18 Out,185,0.06070347833057019,0.05923573889535845,0.0026408494050021423,0.002876043975302212,1.0247779374847428,0.06680697143418957,8061.264864864865,7223.697297297297,376.31891891891894,276.75135135135133,451.89412434745935,355.74819098342283,0.0244759427628111,2.4777937484742774,1.115947212777166,1.3597726518096058,1.2702640120199986
all_data,xB,0.446-0.581,0.5135,0.446,0.581,Fa18 Out / Sp18 Out,Fa18 Out,Sp18 Out,79,0.07618374225366227,0.08603099863196444,0.00454906112261093,0.005265495941313556,0.8855382764946371,0.07571997037218592,3657.3164556962024,3286.0,251.1772151898734,215.9493670886076,301.6205192137314,277.5906831553939,0.12155959683842008,-11.446172350536287,1.1129995300353628,1.1631301289566236,1.086565715337376
all_data,Q2,1.456-1.912,1.684,1.456,1.912,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,297,0.03778007943863794,0.02408894118933247,0.001812957894327657,0.0012271504486820618,1.5683578261782816,0.10976154111845488,70625.72727272728,37188.84175084175,2051.289562289562,768.4646464646464,2464.2441699071255,886.6737042111268,0.45002910136415125,56.83578261782816,1.8991106995454814,2.669334980765355,2.779200689276742
all_data,Q2,1.912-2.51,2.211,1.912,2.51,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,341,0.06199982072706296,0.040259146300129445,0.002367966437250868,0.0016210885669362594,1.5400182672741776,0.08546882931453664,47646.07624633431,25091.390029325514,3074.539589442815,1136.9736070381232,3693.4894018453456,1311.8685477339993,0.4317942782215355,54.00182672741776,1.8989014235818762,2.704143324357506,2.815441690575735
all_data,Q2,2.51-3.295,2.9025,2.51,3.295,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,299,0.07450117226049806,0.05097762226321936,0.00251489474676849,0.001856354587792815,1.461448552382779,0.07256730355425353,29995.90635451505,15798.38795986622,2376.735785953177,870.1705685618729,2855.207480998649,1004.0245375917315,0.37942810302193813,46.14485523827789,1.8986688028370873,2.731344717715744,2.8437626513065037
all_data,Q2,3.295-4.326,3.8104999999999998,3.295,4.326,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,216,0.08862371433334532,0.0630035100881638,0.002720873154682719,0.0023257844834679393,1.4066472520234183,0.06753819471701959,22279.699074074073,11736.13425925926,1892.736111111111,689.5925925925926,2273.7715887236113,795.6691583452513,0.3412090374054774,40.664725202341835,1.8983848158090417,2.744716418712068,2.8576847108820473
all_data,Q2,4.326-5.761,5.0435,4.326,5.761,Fa18 Inb / Sp18 Inb,Fa18 Inb,Sp18 Inb,123,0.10331398251649106,0.07680372874271787,0.0034426762891059137,0.0032177928763806726,1.3451688376039521,0.07200973293673835,14437.28455284553,7586.3983739837395,1106.9674796747968,380.0162601626016,1329.816232779969,438.4722532247731,0.296519534992659,34.51688376039521,1.9030485668081625,2.9129476701895514,3.0328401010548505
all_data,Q2,1-1.2,1.1,1.0,1.2,Fa18 Out / Sp18 Out,Fa18 Out,Sp18 Out,57,0.09342659824991754,0.0738465471882228,0.004687866558815262,0.003826176568789793,1.2651451124964366,0.09125082151716568,59718.80701754386,53278.61403508772,4141.403508771929,2784.5789473684213,4973.1114171526315,3579.4185587164566,0.23518682903631874,26.514511249643657,1.1208776372864133,1.4872638151221322,1.3893629190255803
