bin_number,xBmin,xBmax,Q2min,Q2max,t_abs_min,t_abs_max,phi_pass2,phi_pass1,pass1_normalized_y,pass1_yerr_stat_plus_31percent_norm,pass2_over_pass1,pass2_yerr_stat_plus_s_comb,pass1_xs,pass1_stat,pass1_norm_frac,pass2_xs,pass2_stat,pass2_s_comb,pass2_n_good_periods
90,0.09,0.118,1.2,1.456,0.4,0.6,120,119.255049828,1,0.44320596931,0.862501272269,0.155899947475,0.108351897237,0.0343206291385,0.31,0.09345364922,0.01312790166,0.113747647925,2
91,0.09,0.118,1.2,1.456,0.4,0.6,142.5,142.415018584,1,0.354007885202,0.913397243906,0.111149763506,0.0939718204567,0.0160638451168,0.31,0.08583360181,0.01044494562,0,2
92,0.09,0.118,1.2,1.456,0.4,0.6,157.5,157.471954576,1,0.349742918786,1.07283757188,0.3475053985,0.075307905071,0.0121943263849,0.31,0.08079315002,0.009599667101,0.301332986326,2
93,0.09,0.118,1.2,1.456,0.4,0.6,172.5,172.477834969,1,0.350227281419,0.937297167545,0.288071993239,0.0918372011253,0.0149666883101,0.31,0.08607874849,0.01051135106,0.28204301812,2
94,0.09,0.118,1.2,1.456,0.4,0.6,187.5,187.519604793,1,0.41325434417,0.929358788858,0.246874100104,0.0707830587806,0.0193432309795,0.31,0.06578285778,0.01152463021,0.199679579562,2
95,0.09,0.118,1.2,1.456,0.4,0.6,202.5,202.53218777,1,0.443536265858,1.01513664961,0.14913459542,0.0931002993699,0.0295326739491,0.31,0.09450952598,0.01388447548,0,2
96,0.09,0.118,1.2,1.456,0.4,0.6,255,256.032061062,1,0.35051969523,1.21820574782,0.134603071497,0.0940624400311,0.0153883555218,0.31,0.1145874051,0.009465348626,0.0733846025578,2
97,0.09,0.118,1.2,1.456,0.4,0.6,277.5,277.901596555,1,0.338366225547,0.790994046837,0.0792053245118,0.175055608893,0.0237403434789,0.31,0.1384679445,0.01386533631,0,2
98,0.09,0.118,1.2,1.456,0.4,0.6,292.5,293.057090779,1,0.344488515731,0.708121216859,0.078512957037,0.244892121958,0.0367928204977,0.31,0.1734133074,0.01922720465,0,2
99,0.09,0.118,1.2,1.456,0.4,0.6,307.5,308.278437761,1,0.343925240634,0.89103119187,0.0645134614289,0.348361012759,0.0518865820698,0.31,0.3104005284,0.02247397476,0,2
100,0.09,0.118,1.2,1.456,0.4,0.6,322.5,323.573385045,1,0.31980927188,0.915257193885,0.0956595685723,0.72165578016,0.0567221919729,0.31,0.6605006443,0.02777405979,0.0956844598799,2
101,0.09,0.118,1.2,1.456,0.4,0.6,337.5,339.144843223,1,0.334635904828,0.733889862121,0.0385297036176,2.80577855654,0.353585865724,0.31,2.059132438,0.1081058162,0,2
102,0.09,0.118,1.2,1.456,0.6,0.8,22.5,20.9628128452,1,0.335263584515,0.604354664174,0.110728612626,1.07694157253,0.137501743641,0.31,0.6508546624,0.03029777319,0.177205639667,2
103,0.09,0.118,1.2,1.456,0.6,0.8,37.5,36.4426071641,1,0.329713787097,0.805929294204,0.219390016379,0.383637345141,0.043082288363,0.31,0.3091845748,0.01586698883,0.267338865104,2
104,0.09,0.118,1.2,1.456,0.6,0.8,52.5,51.7446031105,1,0.383945261174,0.764784699296,0.118233356674,0.187303659621,0.042429121886,0.31,0.143246973,0.01856893804,0.0842411551372,2
105,0.09,0.118,1.2,1.456,0.6,0.8,75,73.077853829,1,0.369714022092,0.503990036877,0.145469211685,0.128213913077,0.0258307152478,0.31,0.06461853478,0.01090809872,0.234124362646,2
106,0.09,0.118,1.2,1.456,0.6,0.8,150,149.740497721,1,0.383376597333,0.736555850878,0.198220455537,0.0462638748839,0.0104353105676,0.31,0.03407592773,0.00486842684,0.228062890948,2
107,0.09,0.118,1.2,1.456,0.6,0.8,187.5,187.644803631,1,0.444608257508,0.823583457693,0.149551486147,0.0278685395337,0.00888200140828,0.31,0.02295206815,0.004167781504,0,2
108,0.09,0.118,1.2,1.456,0.6,0.8,247.5,249.313015077,1,0.395564380114,0.946916393587,0.640030507078,0.0460062765362,0.0113039938767,0.31,0.04356409746,0.005449316571,0.664234779018,2
109,0.09,0.118,1.2,1.456,0.6,0.8,285,286.940740699,1,0.376432122505,0.90036387188,0.14937799515,0.0800891244664,0.0171025712945,0.31,0.0721093542,0.007364448086,0.130749041539,2
110,0.09,0.118,1.2,1.456,0.6,0.8,337.5,338.998508841,1,0.331558392835,0.595508786915,0.0864564181852,1.09159198081,0.128376822643,0.31,0.6500526163,0.02999335629,0.137653781538,2
111,0.09,0.118,1.456,1.912,0.11,0.15,22.5,21.9687986806,1,0.340656504671,1.36093398171,0.0818932674981,10.3609318082,1.46330892581,0.31,14.10054418,0.8484905601,0,4
112,0.09,0.118,1.456,1.912,0.11,0.15,37.5,36.94111165,1,0.330674661434,1.60621258008,0.256526406726,5.2518419197,0.604435025327,0.31,8.43557456,0.4032282395,0.15238765416,4
113,0.09,0.118,1.456,1.912,0.11,0.15,52.5,51.9958566202,1,0.334476084805,1.25764110887,0.176381454881,3.75518800609,0.471635039422,0.31,4.722678808,0.2167318679,0.132527007394,4
114,0.09,0.118,1.456,1.912,0.11,0.15,67.5,67.0720066412,1,0.328359930478,1.00210519103,0.0999405986078,3.20684942935,0.347173761279,0.31,3.21360046,0.1412347328,0.0895247542294,4
115,0.09,0.118,1.456,1.912,0.11,0.15,82.5,82.1647499922,1,0.342338529732,1.15619430487,0.0606894822943,1.89221016985,0.274831192933,0.31,2.187762622,0.1148372556,0,4
116,0.09,0.118,1.456,1.912,0.11,0.15,105,103.916324973,1,0.384153717455,1.36317479218,0.265762574949,1.16148059521,0.263515550824,0.31,1.583301069,0.1060123475,0.18310012956,4
117,0.09,0.118,1.456,1.912,0.11,0.15,142.5,142.408531342,1,0.346287774857,1.30218294827,0.434938576982,0.746266600319,0.115165217276,0.31,0.9717756418,0.08935332681,0.321101743745,4
118,0.09,0.118,1.456,1.912,0.11,0.15,180,179.983814329,1,0.368572716708,1.33934749457,0.310127038725,0.717563563522,0.143056059746,0.31,0.961066961,0.09261102073,0.210546952721,4
119,0.09,0.118,1.456,1.912,0.11,0.15,270,271.338084501,1,0.349898709824,1.26032689538,0.0752812318929,1.49173716509,0.242052947649,0.31,1.88007647,0.105085534,0.0210637668035,4
120,0.09,0.118,1.456,1.912,0.11,0.15,292.5,292.898389553,1,0.330374027444,1.06394984764,0.0609785733567,2.75855416731,0.315091591868,0.31,2.934963286,0.1393872559,0.0320832566629,4
121,0.09,0.118,1.456,1.912,0.11,0.15,307.5,307.99856633,1,0.325015241333,1.21392587501,0.204747305928,3.88449444737,0.379308642331,0.31,4.715488321,0.1821217443,0.164183919004,4
122,0.09,0.118,1.456,1.912,0.11,0.15,322.5,323.046143857,1,0.327189595292,1.31085001042,0.143753256052,6.13576825882,0.642149445904,0.31,8.043071886,0.3666781244,0.0997388638108,4
123,0.09,0.118,1.456,1.912,0.11,0.15,337.5,338.053833391,1,0.349674037242,1.92247972525,0.290745946257,7.69103227245,1.24423532726,0.31,14.78585361,0.9949615208,0.13543944326,4
124,0.09,0.118,1.456,1.912,0.15,0.25,37.5,36.7084237034,1,0.32287663438,1.37312294641,0.335879094528,3.82767572469,0.345538028531,0.31,5.255869369,0.213902356,0.241200246964,4
