xBmin,xBmax,Q2min,Q2max,t_abs_min,t_abs_max,phi,pass2_xs,n_valid_periods,ref_value,ref_stat,s_obs,s_stat,s_comb,s_obs_percent,s_stat_percent,s_comb_percent,min_ratio,max_ratio,half_width
0.09,0.118,1.2,1.456,0.15,0.25,127.5,0.4395361607,2,0.441408036076,0.0345793163529,0.0305980096563,0.144860790052,0,3.05980096563,14.4860790052,0,0.957706256455,1.0091496255,0.0257216845233
0.09,0.118,1.2,1.456,0.15,0.25,142.5,0.4397246515,2,0.43628877253,0.0290837199571,0.0472983960283,0.128713931987,0,4.72983960283,12.8713931987,0,0.987521962808,1.06571586659,0.0390969518905
0.09,0.118,1.2,1.456,0.15,0.25,157.5,0.3825361757,2,0.384842469931,0.0277466630741,0.0598219719588,0.126984525388,0,5.98219719588,12.6984525388,0,0.917985165107,1.02075821562,0.0513865252542
0.09,0.118,1.2,1.456,0.15,0.25,172.5,0.3484149529,2,0.349993504653,0.0287879144161,0.102639647158,0.13708580529,0,10.2639647158,13.708580529,0,0.861273890209,1.04271838948,0.0907222496358
0.09,0.118,1.2,1.456,0.15,0.25,187.5,0.335496791,2,0.335301222151,0.0320475336473,0.166665950966,0.153653628049,0.0645608379652,16.6665950966,15.3653628049,6.45608379652,0.777910433868,1.07893860297,0.150514084548
0.09,0.118,1.2,1.456,0.15,0.25,202.5,0.3577543138,2,0.35844374613,0.0356859846865,0.0590111114351,0.164379666536,0,5.90111114351,16.4379666536,0,0.920497181671,1.02537566597,0.0524392421487
0.09,0.118,1.2,1.456,0.25,0.4,120,0.240458778,2,0.246577043396,0.0193495926447,0.187617051268,0.143835617896,0.120463575204,18.7617051268,14.3835617896,12.0463575204,0.740996036304,1.0575956825,0.1582998231
0.09,0.118,1.2,1.456,0.25,0.4,142.5,0.1571775346,2,0.16785942206,0.0151617877381,0.259494089556,0.20935463597,0.153322597526,25.9494089556,20.935463597,15.3322597526,0.635459906814,1.04224790514,0.203393999163
0.09,0.118,1.2,1.456,0.25,0.4,157.5,0.1777144777,2,0.174328086805,0.0154531488131,0.227286380255,0.136001699443,0.182106113017,22.7286380255,13.6001699443,18.2106113017,0.705917345022,1.12974432296,0.211913488969
0.09,0.118,1.2,1.456,0.25,0.4,172.5,0.1967459074,2,0.196613546224,0.0170825477526,0.140819435408,0.139555081039,0.0188279777112,14.0819435408,13.9555081039,1.88279777112,0.812429200164,1.06691353993,0.127242169883
0.09,0.118,1.2,1.456,0.25,0.4,187.5,0.1555246604,2,0.155818845377,0.0181689161539,0.078748106196,0.191219939899,0,7.8748106196,19.1219939899,0,0.894172949764,1.03468665301,0.0702568516246
0.09,0.118,1.2,1.456,0.25,0.4,210,0.1788405241,2,0.175713663759,0.015695665682,0.263226161628,0.13825994337,0.223991518198,26.3226161628,13.825994337,22.3991518198,0.657033813023,1.14474190451,0.243854045743
0.09,0.118,1.2,1.456,0.25,0.4,255,0.2378511181,2,0.246187395258,0.0170485045614,0.350353408563,0.121484818481,0.328616721685,35.0353408563,12.1484818481,32.8616721685,0.520062604204,1.12310612455,0.301521760171
0.09,0.118,1.2,1.456,0.25,0.4,277.5,0.2920716989,2,0.29614450697,0.028686208412,0.181619296756,0.166227911559,0.0731700100651,18.1619296756,16.6227911559,7.31700100651,0.752458199815,1.06851419612,0.158027998151
0.09,0.118,1.2,1.456,0.25,0.4,292.5,0.4857368604,2,0.484075989237,0.0443666023497,0.154160483917,0.1455522414,0.0507936986741,15.4160483917,14.55522414,5.07936986741,0.795838866967,1.0764796794,0.140320406218
0.09,0.118,1.2,1.456,0.4,0.6,22.5,1.768674872,2,1.75737040234,0.0924535056489,0.036052228046,0.103740832212,0,3.6052228046,10.3740832212,0,0.991034618931,1.05019111711,0.0295782490879
0.09,0.118,1.2,1.456,0.4,0.6,37.5,0.6252794114,2,0.635642248175,0.0247524340899,0.096267192878,0.0755564955713,0.0596539051663,9.6267192878,7.55564955713,5.96539051663,0.866181859813,1.02504895619,0.0794335481868
0.09,0.118,1.2,1.456,0.4,0.6,52.5,0.3870508659,2,0.388563042463,0.0255584436961,0.0507781300582,0.11298102966,0,5.07781300582,11.298102966,0,0.930775012227,1.01909811646,0.0441615521157
0.09,0.118,1.2,1.456,0.4,0.6,75,0.199059639,2,0.200764500287,0.0179105654525,0.162915699685,0.149741481441,0.0641795445583,16.2915699685,14.9741481441,6.41795445583,0.779311027479,1.06617724545,0.143433108985
0.09,0.118,1.2,1.456,0.4,0.6,120,0.09345364922,2,0.0941230272892,0.0131192663943,0.255926418439,0.229259251169,0.113747647925,25.5926418439,22.9259251169,11.3747647925,0.655683029514,1.11154589704,0.227931433762
0.09,0.118,1.2,1.456,0.4,0.6,142.5,0.08583360181,2,0.0853014605568,0.0104253795064,0.122050895991,0.19083660352,0,12.2050895991,19.083660352,0,0.839994002357,1.06473733963,0.112371668638
0.09,0.118,1.2,1.456,0.4,0.6,157.5,0.08079315002,2,0.0812480691497,0.00959771910438,0.357575891919,0.192507012426,0.301332986326,35.7575891919,19.2507012426,30.1332986326,0.520660097682,1.16110336747,0.320221634893
0.09,0.118,1.2,1.456,0.4,0.6,172.5,0.08607874849,2,0.0888681705047,0.0104255912003,0.348286823353,0.204341496646,0.28204301812,34.8286823353,20.4341496646,28.204301812,0.52362477753,1.12519612638,0.300785674423
0.09,0.118,1.2,1.456,0.4,0.6,187.5,0.06578285778,2,0.0696310337241,0.0111976526832,0.363207382715,0.303393586558,0.199679579562,36.3207382715,30.3393586558,19.9679579562,0.496658972019,1.10240612906,0.302873578519
0.09,0.118,1.2,1.456,0.4,0.6,202.5,0.09450952598,2,0.0948459775379,0.0138609640075,0.0811446280655,0.24351936432,0,8.11446280655,24.351936432,0,0.890333106602,1.0337945827,0.0717307380514
0.09,0.118,1.2,1.456,0.4,0.6,255,0.1145874051,2,0.115148504949,0.00945721042782,0.154095500218,0.135499532453,0.0733846025578,15.4095500218,13.5499532453,7.33846025578,0.792452748042,1.06644535032,0.136996301141
