group,period,stage,stage label,ratio_to_group,ratio_to_all,abs_frac_dev,abs_frac_dev_all,bin index,xB index,Q2 index,t_abs index,phi index,xBavg,Q2avg,t_abs_avg,phiavg
inbending,Sp19 Inb,contamination_ratio,π0 contam.,8.569988696822458,6.087192387291594,7.569988696822458,5.087192387291594,337,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,8.540398117772755,9.168331464873505,7.540398117772755,8.168331464873505,1672,,,,,,,,
inbending,Sp18 Inb,contamination_ratio,π0 contam.,8.488367706825887,7.328996745890355,7.488367706825887,6.328996745890355,1167,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,8.421251535988567,7.648551277093627,7.421251535988567,6.648551277093627,1606,,,,,,,,
outbending,Sp18 Out,normalized_raw_eppi0,eff. corr. raw epπ0 / L,8.303645892591172,8.303645892591172,7.303645892591172,7.303645892591172,276,,,,,,,,
outbending,Sp18 Out,normalized_raw_eppi0,eff. corr. raw epπ0 / L,8.303361080402198,8.303361080402198,7.303361080402198,7.303361080402198,135,,,,,,,,
outbending,Sp18 Out,normalized_raw_eppi0,eff. corr. raw epπ0 / L,8.303361080402198,6.549303804411808,7.303361080402198,5.549303804411808,1837,,,,,,,,
outbending,Sp18 Out,normalized_raw_eppi0,eff. corr. raw epπ0 / L,8.303361080402198,3.46299325391353,7.303361080402198,2.46299325391353,1283,,,,,,,,
outbending,Sp18 Out,normalized_raw_eppi0,eff. corr. raw epπ0 / L,8.303361080402198,2.492528322491076,7.303361080402198,1.4925283224910761,2152,,,,,,,,
outbending,Sp18 Out,normalized_raw_eppi0,eff. corr. raw epπ0 / L,8.302824324142486,5.517043343098334,7.302824324142486,4.517043343098334,1865,,,,,,,,
outbending,Sp18 Out,contamination_ratio,π0 contam.,8.272297776453753,4.786645320874946,7.272297776453753,3.786645320874946,2410,,,,,,,,
inbending,Sp19 Inb,contamination_ratio,π0 contam.,8.236199247997703,7.123685500099358,7.236199247997703,6.123685500099358,1829,,,,,,,,
