# phi(deg) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
202.61 1.39 0.155 0.45 5.75 0.0121 0.0177
217.68 1.39 0.155 0.45 5.75 -0.0437 0.0175
232.76 1.39 0.155 0.45 5.75 -0.0009 0.0186
247.84 1.39 0.155 0.45 5.75 -0.0101 0.0244
262.92 1.39 0.155 0.45 5.75 -0.083 0.023
278.02 1.39 0.155 0.45 5.75 -0.023 0.0266
293.12 1.39 0.155 0.45 5.75 -0.0403 0.0395
308.03 1.39 0.155 0.45 5.75 -0.0458 0.0577
7.85 1.45 0.184 0.11 5.75 0.2861 0.2929
22.93 1.45 0.184 0.11 5.75 -0.003 0.223
37.42 1.45 0.184 0.11 5.75 0.5258 0.1671
52.08 1.45 0.184 0.11 5.75 0.2291 0.1664
67.09 1.45 0.184 0.11 5.75 0.4215 0.186
82.13 1.45 0.184 0.11 5.75 0.306 0.1226
97.17 1.45 0.184 0.11 5.75 0.2315 0.1087
112.21 1.45 0.184 0.11 5.75 0.1643 0.1007
127.27 1.45 0.184 0.11 5.75 -0.0636 0.118
142.33 1.45 0.184 0.11 5.75 0.1641 0.0758
157.39 1.45 0.184 0.11 5.75 0.0132 0.0686
172.46 1.45 0.184 0.11 5.75 -0.0465 0.0784
187.54 1.45 0.184 0.11 5.75 -0.0194 0.0853
202.61 1.45 0.184 0.11 5.75 -0.226 0.0634
217.67 1.45 0.184 0.11 5.75 -0.1079 0.0762
232.73 1.45 0.184 0.11 5.75 -0.161 0.0982
247.79 1.45 0.184 0.11 5.75 -0.169 0.091
262.83 1.45 0.184 0.11 5.75 -0.1783 0.1005
277.87 1.45 0.184 0.11 5.75 -0.3056 0.1222
292.91 1.45 0.184 0.11 5.75 -0.4388 0.1818
307.92 1.45 0.184 0.11 5.75 -0.6542 0.171
322.58 1.45 0.184 0.11 5.75 -0.5561 0.1748
337.07 1.45 0.184 0.11 5.75 -0.1777 0.2153
352.15 1.45 0.184 0.11 5.75 -0.4935 0.3337
24.27 1.45 0.184 0.15 5.75 1.124 0.3322
38 1.45 0.184 0.15 5.75 0.3774 0.1435
51.97 1.45 0.184 0.15 5.75 0.3593 0.1194
67.01 1.45 0.184 0.15 5.75 0.2036 0.1104
82.07 1.45 0.184 0.15 5.75 0.2527 0.0835
97.13 1.45 0.184 0.15 5.75 0.2243 0.0664
112.19 1.45 0.184 0.15 5.75 0.2843 0.0672
127.25 1.45 0.184 0.15 5.75 0.1482 0.0615
142.32 1.45 0.184 0.15 5.75 0.1132 0.0482
157.39 1.45 0.184 0.15 5.75 0.0134 0.0513
172.46 1.45 0.184 0.15 5.75 -0.0411 0.0474
187.54 1.45 0.184 0.15 5.75 0.0516 0.0579
202.61 1.45 0.184 0.15 5.75 -0.1527 0.056
217.68 1.45 0.184 0.15 5.75 -0.0089 0.0529
232.75 1.45 0.184 0.15 5.75 -0.0514 0.0726
247.81 1.45 0.184 0.15 5.75 -0.2364 0.069
262.87 1.45 0.184 0.15 5.75 -0.1579 0.0739
277.93 1.45 0.184 0.15 5.75 -0.1624 0.0837
292.99 1.45 0.184 0.15 5.75 -0.4937 0.1167
308.03 1.45 0.184 0.15 5.75 -0.3205 0.1181
322 1.45 0.184 0.15 5.75 -0.6483 0.1429
335.73 1.45 0.184 0.15 5.75 -0.4844 0.2599
38.92 1.45 0.184 0.2 5.75 0.6161 0.164
51.87 1.45 0.184 0.2 5.75 0.3214 0.0984
66.95 1.45 0.184 0.2 5.75 0.2632 0.0828
82.03 1.45 0.184 0.2 5.75 0.2359 0.0632
97.1 1.45 0.184 0.2 5.75 0.2332 0.055
112.17 1.45 0.184 0.2 5.75 0.0305 0.051
127.24 1.45 0.184 0.2 5.75 0.031 0.0521
142.31 1.45 0.184 0.2 5.75 0.0731 0.0465
157.39 1.45 0.184 0.2 5.75 0.0322 0.0421
172.46 1.45 0.184 0.2 5.75 0.0044 0.0444
187.54 1.45 0.184 0.2 5.75 0.0064 0.0415
202.61 1.45 0.184 0.2 5.75 -0.0479 0.0364
217.69 1.45 0.184 0.2 5.75 -0.0238 0.0397
232.76 1.45 0.184 0.2 5.75 0.037 0.0526
247.83 1.45 0.184 0.2 5.75 -0.057 0.0472
262.9 1.45 0.184 0.2 5.75 -0.1833 0.048
277.97 1.45 0.184 0.2 5.75 -0.2385 0.0629
293.05 1.45 0.184 0.2 5.75 -0.2757 0.0878
308.13 1.45 0.184 0.2 5.75 -0.1967 0.1174
321.08 1.45 0.184 0.2 5.75 -0.2673 0.1634
39.83 1.45 0.184 0.26 5.75 0.2052 0.151
51.77 1.45 0.184 0.26 5.75 0.1798 0.0702
66.89 1.45 0.184 0.26 5.75 0.1436 0.0587
81.99 1.45 0.184 0.26 5.75 0.1383 0.0483
97.08 1.45 0.184 0.26 5.75 0.0316 0.0347
112.16 1.45 0.184 0.26 5.75 0.0932 0.0311
127.23 1.45 0.184 0.26 5.75 0.0099 0.0377
142.31 1.45 0.184 0.26 5.75 -0.0131 0.0245
157.38 1.45 0.184 0.26 5.75 0.0433 0.0279
172.46 1.45 0.184 0.26 5.75 0.0329 0.0268
187.54 1.45 0.184 0.26 5.75 0.036 0.0314
202.62 1.45 0.184 0.26 5.75 -0.0138 0.0251
217.69 1.45 0.184 0.26 5.75 -0.1056 0.0285
232.77 1.45 0.184 0.26 5.75 -0.0566 0.0367
247.84 1.45 0.184 0.26 5.75 -0.0263 0.0385
262.92 1.45 0.184 0.26 5.75 -0.0889 0.0318
278.01 1.45 0.184 0.26 5.75 -0.0714 0.0407
293.11 1.45 0.184 0.26 5.75 -0.1526 0.0597
308.23 1.45 0.184 0.26 5.75 -0.1872 0.0836
320.17 1.45 0.184 0.26 5.75 -0.253 0.1286
40.41 1.45 0.184 0.34 5.75 0.3711 0.1124
51.69 1.45 0.184 0.34 5.75 0.229 0.0445
66.84 1.45 0.184 0.34 5.75 0.0456 0.0377
81.96 1.45 0.184 0.34 5.75 0.0701 0.0254
97.05 1.45 0.184 0.34 5.75 0.0827 0.0261
112.14 1.45 0.184 0.34 5.75 0.051 0.0243
