# phi(deg) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
157.43012 1.59936 0.10886 -0.67430 10.60410 0.02954 0.00681
187.66286 1.59936 0.10886 -0.67430 10.60410 0.02222 0.00550
249.63532 1.59936 0.10886 -0.67430 10.60410 0.02857 0.00523
286.93842 1.59936 0.10886 -0.67430 10.60410 0.05419 0.01324
308.21063 1.59936 0.10886 -0.67430 10.60410 0.09036 0.01665
323.40699 1.59936 0.10886 -0.67430 10.60410 0.27515 0.02238
338.71945 1.59936 0.10886 -0.67430 10.60410 0.75655 0.07638
7.41797 1.32800 0.13349 -0.12917 10.60410 3.73048 1.45693
28.81350 1.32800 0.13349 -0.12917 10.60410 2.77061 0.91830
95.37693 1.32800 0.13349 -0.12917 10.60410 0.56599 0.15618
141.62839 1.32800 0.13349 -0.12917 10.60410 0.26719 0.06607
195.63291 1.32800 0.13349 -0.12917 10.60410 0.27421 0.07383
104.18492 1.32724 0.13349 -0.19682 10.60410 0.27882 0.05896
127.39177 1.32724 0.13349 -0.19682 10.60410 0.23823 0.05241
142.39278 1.32724 0.13349 -0.19682 10.60410 0.25512 0.04099
157.46575 1.32724 0.13349 -0.19682 10.60410 0.21564 0.03793
172.48179 1.32724 0.13349 -0.19682 10.60410 0.22007 0.04485
187.52208 1.32724 0.13349 -0.19682 10.60410 0.25549 0.04876
202.53134 1.32724 0.13349 -0.19682 10.60410 0.23469 0.04403
225.42477 1.32724 0.13349 -0.19682 10.60410 0.26523 0.07443
119.44629 1.32597 0.13317 -0.32304 10.60410 0.19764 0.03464
142.46181 1.32597 0.13317 -0.32304 10.60410 0.10544 0.02175
157.47960 1.32597 0.13317 -0.32304 10.60410 0.12748 0.02235
172.48155 1.32597 0.13317 -0.32304 10.60410 0.10397 0.02188
187.52989 1.32597 0.13317 -0.32304 10.60410 0.07180 0.02108
210.22592 1.32597 0.13317 -0.32304 10.60410 0.11978 0.02131
286.51669 1.32597 0.13317 -0.32304 10.60410 0.26335 0.06385
317.61240 1.32597 0.13317 -0.32304 10.60410 0.34989 0.08980
8.28098 1.32716 0.13099 -0.51575 10.60410 3.87173 0.51716
36.54754 1.32716 0.13099 -0.51575 10.60410 0.40261 0.08820
57.70199 1.32716 0.13099 -0.51575 10.60410 0.14875 0.05367
134.65656 1.32716 0.13099 -0.51575 10.60410 0.07743 0.01592
157.43962 1.32716 0.13099 -0.51575 10.60410 0.06769 0.01639
172.50246 1.32716 0.13099 -0.51575 10.60410 0.05805 0.01582
202.80171 1.32716 0.13099 -0.51575 10.60410 0.04594 0.01139
271.08593 1.32716 0.13099 -0.51575 10.60410 0.07549 0.01626
292.95076 1.32716 0.13099 -0.51575 10.60410 0.14496 0.02741
323.51029 1.32716 0.13099 -0.51575 10.60410 0.38074 0.07412
338.89617 1.32716 0.13099 -0.51575 10.60410 1.24799 0.16229
36.39717 1.30223 0.13429 -0.70452 10.60410 0.23338 0.05695
62.99546 1.30223 0.13429 -0.70452 10.60410 0.07710 0.01581
142.06543 1.30223 0.13429 -0.70452 10.60410 0.03942 0.01214
264.29520 1.30223 0.13429 -0.70452 10.60410 0.04408 0.01165
314.46756 1.30223 0.13429 -0.70452 10.60410 0.11023 0.02548
7.39146 1.69713 0.13245 -0.12911 10.60410 2.65114 0.24800
22.22482 1.69713 0.13245 -0.12911 10.60410 2.00408 0.16249
37.14173 1.69713 0.13245 -0.12911 10.60410 1.26502 0.12948
52.14778 1.69713 0.13245 -0.12911 10.60410 1.01592 0.15786
67.11930 1.69713 0.13245 -0.12911 10.60410 1.26387 0.27545
82.18188 1.69713 0.13245 -0.12911 10.60410 0.81350 0.21111
97.24977 1.69713 0.13245 -0.12911 10.60410 0.52694 0.12008
112.27603 1.69713 0.13245 -0.12911 10.60410 0.41530 0.08697
127.33144 1.69713 0.13245 -0.12911 10.60410 0.47283 0.06916
142.40412 1.69713 0.13245 -0.12911 10.60410 0.27355 0.04114
164.82171 1.69713 0.13245 -0.12911 10.60410 0.21381 0.03096
286.34569 1.69713 0.13245 -0.12911 10.60410 0.93312 0.21311
307.85221 1.69713 0.13245 -0.12911 10.60410 1.28432 0.16010
322.85211 1.69713 0.13245 -0.12911 10.60410 1.56677 0.14421
337.78364 1.69713 0.13245 -0.12911 10.60410 1.97924 0.18923
352.59597 1.69713 0.13245 -0.12911 10.60410 2.47674 0.25606
7.28141 1.69762 0.13227 -0.19666 10.60410 2.35278 0.17318
21.98994 1.69762 0.13227 -0.19666 10.60410 1.97633 0.12155
36.95637 1.69762 0.13227 -0.19666 10.60410 1.17060 0.07365
51.99963 1.69762 0.13227 -0.19666 10.60410 0.74114 0.06520
67.09920 1.69762 0.13227 -0.19666 10.60410 0.62310 0.09697
82.15819 1.69762 0.13227 -0.19666 10.60410 0.99763 0.26178
97.24334 1.69762 0.13227 -0.19666 10.60410 0.57306 0.08579
112.27004 1.69762 0.13227 -0.19666 10.60410 0.27371 0.03241
127.32012 1.69762 0.13227 -0.19666 10.60410 0.23901 0.02066
