# phi(deg) q2(GeV2) xb t(GeV2) Eb(GeV) A sigA
202.61 1.39 0.155 0.34 5.75 0.2127 0.0261
217.68 1.39 0.155 0.34 5.75 0.1884 0.0226
232.75 1.39 0.155 0.34 5.75 0.2227 0.0283
247.83 1.39 0.155 0.34 5.75 0.2037 0.0291
262.92 1.39 0.155 0.34 5.75 0.2977 0.0306
278.01 1.39 0.155 0.34 5.75 0.4361 0.0377
293.12 1.39 0.155 0.34 5.75 0.5538 0.0539
305.92 1.39 0.155 0.34 5.75 1.1538 0.0973
51.97 1.39 0.155 0.45 5.75 0.6221 0.0417
66.88 1.39 0.155 0.45 5.75 0.3719 0.0331
81.98 1.39 0.155 0.45 5.75 0.1963 0.0224
97.08 1.39 0.155 0.45 5.75 0.1649 0.018
112.16 1.39 0.155 0.45 5.75 0.1348 0.0164
127.24 1.39 0.155 0.45 5.75 0.1146 0.0176
142.32 1.39 0.155 0.45 5.75 0.1176 0.0172
157.39 1.39 0.155 0.45 5.75 0.1303 0.0161
172.46 1.39 0.155 0.45 5.75 0.1189 0.0162
187.54 1.39 0.155 0.45 5.75 0.0996 0.0175
202.61 1.39 0.155 0.45 5.75 0.0952 0.0145
217.68 1.39 0.155 0.45 5.75 0.1121 0.0143
232.76 1.39 0.155 0.45 5.75 0.0987 0.0152
247.84 1.39 0.155 0.45 5.75 0.1369 0.0201
262.92 1.39 0.155 0.45 5.75 0.167 0.0189
278.02 1.39 0.155 0.45 5.75 0.2314 0.0218
293.12 1.39 0.155 0.45 5.75 0.3358 0.0323
308.03 1.39 0.155 0.45 5.75 0.5584 0.0475
7.85 1.45 0.184 0.11 5.75 4.035 0.2391
22.93 1.45 0.184 0.11 5.75 4.1777 0.1827
37.42 1.45 0.184 0.11 5.75 3.0824 0.1366
52.08 1.45 0.184 0.11 5.75 2.2973 0.1363
67.09 1.45 0.184 0.11 5.75 1.9029 0.1526
82.13 1.45 0.184 0.11 5.75 1.21 0.1003
97.17 1.45 0.184 0.11 5.75 1.113 0.0889
112.21 1.45 0.184 0.11 5.75 0.8355 0.0826
127.27 1.45 0.184 0.11 5.75 0.7907 0.0969
142.33 1.45 0.184 0.11 5.75 0.5471 0.0619
157.39 1.45 0.184 0.11 5.75 0.5532 0.0563
172.46 1.45 0.184 0.11 5.75 0.4869 0.0643
187.54 1.45 0.184 0.11 5.75 0.5022 0.0695
202.61 1.45 0.184 0.11 5.75 0.4334 0.0516
217.67 1.45 0.184 0.11 5.75 0.5621 0.0621
232.73 1.45 0.184 0.11 5.75 0.6076 0.0802
247.79 1.45 0.184 0.11 5.75 0.7304 0.0744
262.83 1.45 0.184 0.11 5.75 0.9625 0.0822
277.87 1.45 0.184 0.11 5.75 1.2243 0.0999
292.91 1.45 0.184 0.11 5.75 1.9561 0.1489
307.92 1.45 0.184 0.11 5.75 2.5557 0.1402
322.58 1.45 0.184 0.11 5.75 3.29 0.1431
337.07 1.45 0.184 0.11 5.75 3.9039 0.1762
352.15 1.45 0.184 0.11 5.75 4.7351 0.2735
24.27 1.45 0.184 0.15 5.75 4.9119 0.2721
38 1.45 0.184 0.15 5.75 2.5609 0.1175
51.97 1.45 0.184 0.15 5.75 1.9062 0.0978
67.01 1.45 0.184 0.15 5.75 1.2143 0.0903
82.07 1.45 0.184 0.15 5.75 0.8716 0.0683
97.13 1.45 0.184 0.15 5.75 0.6479 0.0542
112.19 1.45 0.184 0.15 5.75 0.5814 0.0548
127.25 1.45 0.184 0.15 5.75 0.3401 0.0502
142.32 1.45 0.184 0.15 5.75 0.2909 0.0395
157.39 1.45 0.184 0.15 5.75 0.3961 0.0418
172.46 1.45 0.184 0.15 5.75 0.2718 0.0388
187.54 1.45 0.184 0.15 5.75 0.3153 0.0475
202.61 1.45 0.184 0.15 5.75 0.4299 0.0457
217.68 1.45 0.184 0.15 5.75 0.3719 0.0432
232.75 1.45 0.184 0.15 5.75 0.4732 0.0596
247.81 1.45 0.184 0.15 5.75 0.5282 0.0564
262.87 1.45 0.184 0.15 5.75 0.7802 0.0605
277.93 1.45 0.184 0.15 5.75 1.0058 0.0686
292.99 1.45 0.184 0.15 5.75 1.3495 0.0956
308.03 1.45 0.184 0.15 5.75 1.6663 0.0968
322 1.45 0.184 0.15 5.75 2.5455 0.1167
335.73 1.45 0.184 0.15 5.75 3.7992 0.2123
38.92 1.45 0.184 0.2 5.75 2.2199 0.1344
51.87 1.45 0.184 0.2 5.75 1.2909 0.0806
66.95 1.45 0.184 0.2 5.75 0.7185 0.0677
82.03 1.45 0.184 0.2 5.75 0.5357 0.0517
97.1 1.45 0.184 0.2 5.75 0.4989 0.045
112.17 1.45 0.184 0.2 5.75 0.4026 0.0419
127.24 1.45 0.184 0.2 5.75 0.2864 0.0426
142.31 1.45 0.184 0.2 5.75 0.2655 0.0387
157.39 1.45 0.184 0.2 5.75 0.259 0.0345
172.46 1.45 0.184 0.2 5.75 0.2545 0.0364
187.54 1.45 0.184 0.2 5.75 0.1665 0.0339
202.61 1.45 0.184 0.2 5.75 0.2035 0.0297
217.69 1.45 0.184 0.2 5.75 0.2428 0.0324
232.76 1.45 0.184 0.2 5.75 0.2924 0.043
247.83 1.45 0.184 0.2 5.75 0.2604 0.0386
262.9 1.45 0.184 0.2 5.75 0.3763 0.0392
