this_binnum,integrated_binnum,phi_binnum,phi_width,xBmin,xBmax,Q2min,Q2max,t1min,t1max,this_bin_volume,bin_volume,xBbin,Q2bin,tbin,xB_avg_this_point,Q2_avg_this_point,t_avg_this_point,phi_avg_this_point,tmin_this_point,tcol_this_point,P1_this_point,P2_this_point,maxP1P2,minP1P2,acceptance_inb,active_bin_inb,acceptance_outb,active_bin_outb,acceptance,active_bin
265,16,11,1,0.09,0.118,1.2,1.456,0.25,0.4,0.00028148670176164164,0.0067556808422794,1,1,2,0.09606433663482858,1.358778537173184,0.3438516123341082,172.4733954749139,-0.008876146054568795,0.4217329566472757,-0.004938473545269162,0.7518791243378107,-0.0004741674167156139,-0.12202324752839382,0.001188448466768748,0,0.03597832527977176,1,0.019202625421350348,1
266,16,12,1,0.09,0.118,1.2,1.456,0.25,0.4,0.00028148670176164164,0.0067556808422794,1,1,2,0.09606433663482858,1.358778537173184,0.3438516123341082,187.52244406423785,-0.008876146054568795,0.4217329566472757,-0.005111633384130712,0.7520522841766722,-0.0005397234188609455,-0.12359079311883554,0.00014325315624309228,0,0.017959198815977344,1,0.009309502353138715,1
267,16,13,2,0.09,0.118,1.2,1.456,0.25,0.4,0.0005629734035232833,0.0067556808422794,1,1,2,0.09606433663482858,1.358778537173184,0.3438516123341082,210.35943812680094,-0.008876146054568795,0.4217329566472757,-0.005402025640203976,0.7523426764327455,-0.0006424313935507189,-0.12534644996585867,0.0,0,0.005152083986084958,1,0.002652552594323032,1
268,16,15,1,0.09,0.118,1.2,1.456,0.25,0.4,0.00028148670176164164,0.0067556808422794,1,1,2,0.09606433663482858,1.358778537173184,0.3438516123341082,232.6702901553501,-0.008876146054568795,0.4217329566472757,-0.00571787298274081,0.7526585237752824,-0.0008421378360787519,-0.12414448292201558,0.0,0,0.00030189852639390144,0,0.00015596630804138385,0
269,16,16,2,0.09,0.118,1.2,1.456,0.25,0.4,0.0005629734035232833,0.0067556808422794,1,1,2,0.09606433663482858,1.358778537173184,0.3438516123341082,256.0824441658099,-0.008876146054568795,0.4217329566472757,-0.0060834569391944844,0.753024107731736,-0.0009879463983295974,-0.12621467307316425,0.00014454600179400386,0,0.004951097666209872,1,0.0026304198356418896,1
270,16,18,1,0.09,0.118,1.2,1.456,0.25,0.4,0.00028148670176164164,0.0067556808422794,1,1,2,0.09606433663482858,1.358778537173184,0.3438516123341082,277.9174489770973,-0.008876146054568795,0.4217329566472757,-0.006455911590644549,0.7533965623831861,-0.0012367522207261646,-0.12833999990311565,0.0002361414518313327,0,0.01219385315639203,1,0.006422747160742752,1
271,16,19,1,0.09,0.118,1.2,1.456,0.25,0.4,0.00028148670176164164,0.0067556808422794,1,1,2,0.09606433663482858,1.358778537173184,0.3438516123341082,293.0524875770035,-0.008876146054568795,0.4217329566472757,-0.006731910588409976,0.7536725613809515,-0.0013627990548117559,-0.12898934964501557,0.0006140110483842553,0,0.009271534028306211,1,0.005147731094765828,1
272,16,20,1,0.09,0.118,1.2,1.456,0.25,0.4,0.00028148670176164164,0.0067556808422794,1,1,2,0.09606433663482858,1.358778537173184,0.3438516123341082,308.2050179766655,-0.008876146054568795,0.4217329566472757,-0.007022846115076959,0.7539634969076185,-0.0015285153697869134,-0.13115337900448107,0.0005329288672229338,0,0.007867701113792088,1,0.004325867425447519,0
273,16,21,1,0.09,0.118,1.2,1.456,0.25,0.4,0.00028148670176164164,0.0067556808422794,1,1,2,0.09606433663482858,1.358778537173184,0.3438516123341082,323.4081397874052,-0.008876146054568795,0.4217329566472757,-0.007329446111893311,0.7542700969044349,-0.0016914313363091133,-0.12738086212113595,0.0006303003070838628,0,0.0062703552449691205,1,0.003530542278890993,0
274,16,22,2,0.09,0.118,1.2,1.456,0.25,0.4,0.0005629734035232833,0.0067556808422794,1,1,2,0.09606433663482858,1.358778537173184,0.3438516123341082,353.1642590471871,-0.008876146054568795,0.4217329566472757,-0.007972102527662396,0.754912753320204,-0.001781565782220675,-0.13223694333717514,0.0,0,7.792805306747076e-05,0,3.739341750218139e-05,0
275,17,0,1,0.09,0.118,1.2,1.456,0.4,0.6,0.0003753156023488583,0.0090075744563726,1,1,3,0.10258471315957246,1.3173446950181324,0.49376310488378755,2.5308422967395905,-0.010172791697017337,0.5003331246756828,-2.5318254784680245e-05,0.6252083802498146,-4.3238604120549354e-07,-0.02797321387526867,0.0,0,0.0,0,0.0,0
276,17,1,1,0.09,0.118,1.2,1.456,0.4,0.6,0.0003753156023488583,0.0090075744563726,1,1,3,0.10258471315957246,1.3173446950181324,0.49376310488378755,20.830898524529402,-0.010172791697017337,0.5003331246756828,-4.539870447488013e-05,0.6252284606995048,-5.745927637436481e-06,-0.027668675138660562,0.00012484335284522225,0,0.00437355854403483,1,0.0023245831388475934,1
277,17,2,1,0.09,0.118,1.2,1.456,0.4,0.6,0.0003753156023488583,0.0090075744563726,1,1,3,0.10258471315957246,1.3173446950181324,0.49376310488378755,36.39659936455301,-0.010172791697017337,0.5003331246756828,-8.723804388548773e-05,0.6252703000389154,-2.1192169314820627e-05,-0.02763609641327873,0.0018062903124667967,1,0.026966659882662634,1,0.01476227617841115,1
278,17,3,1,0.09,0.118,1.2,1.456,0.4,0.6,0.0003753156023488583,0.0090075744563726,1,1,3,0.10258471315957246,1.3173446950181324,0.49376310488378755,51.74167258373836,-0.010172791697017337,0.5003331246756828,-0.00015076197182639024,0.6253338239668563,-4.805007510777937e-05,-0.027487818547130435,0.0022966333842440153,0,0.016409207779883073,1,0.009573428706934164,1
279,17,4,2,0.09,0.118,1.2,1.456,0.4,0.6,0.0007506312046977167,0.0090075744563726,1,1,3,0.10258471315957246,1.3173446950181324,0.49376310488378755,72.99038760115589,-0.010172791697017337,0.5003331246756828,-0.0002752424284066118,0.6254583044234365,-8.124779164591541e-05,-0.028377009769033422,8.379813116636324e-05,0,0.0020610975558045283,1,0.0011058171285618648,1
280,17,6,1,0.09,0.118,1.2,1.456,0.4,0.6,0.0003753156023488583,0.0090075744563726,1,1,3,0.10258471315957246,1.3173446950181324,0.49376310488378755,97.19123888762769,-0.010172791697017337,0.5003331246756828,-0.00046866670690974246,0.6256517287019396,-0.00018488931555301708,-0.027593993141195147,0.0,0,0.0,0,0.0,0
281,17,7,2,0.09,0.118,1.2,1.456,0.4,0.6,0.0007506312046977167,0.0090075744563726,1,1,3,0.10258471315957246,1.3173446950181324,0.49376310488378755,119.25504982761095,-0.010172791697017337,0.5003331246756828,-0.0006929353074747464,0.6258759973025046,-0.00025436779606568795,-0.029265522290530397,4.6227168399193085e-05,0,0.0032031876420552615,1,0.0016797178189771134,1
282,17,9,1,0.09,0.118,1.2,1.456,0.4,0.6,0.0003753156023488583,0.0090075744563726,1,1,3,0.10258471315957246,1.3173446950181324,0.49376310488378755,142.41501858386872,-0.010172791697017337,0.5003331246756828,-0.0009775081331575874,0.6261605701281875,-0.00040702880911203646,-0.028951743854272616,0.001210247508878611,0,0.023548254833413478,1,0.012722161638261429,1
283,17,10,1,0.09,0.118,1.2,1.456,0.4,0.6,0.0003753156023488583,0.0090075744563726,1,1,3,0.10258471315957246,1.3173446950181324,0.49376310488378755,157.47195457579522,-0.010172791697017337,0.5003331246756828,-0.0011895199628366789,0.6263725819578666,-0.0005031419947494289,-0.028410716962082472,0.0014973182732674203,0,0.03238962255466224,1,0.017411440151043674,1
284,17,11,1,0.09,0.118,1.2,1.456,0.4,0.6,0.0003753156023488583,0.0090075744563726,1,1,3,0.10258471315957246,1.3173446950181324,0.49376310488378755,172.47783496860092,-0.010172791697017337,0.5003331246756828,-0.0014219773913873178,0.6266050393864172,-0.0006074909399817159,-0.02934620171567508,0.0010000498342471631,0,0.026364324872891004,1,0.014078865303038276,1
285,17,12,1,0.09,0.118,1.2,1.456,0.4,0.6,0.0003753156023488583,0.0090075744563726,1,1,3,0.10258471315957246,1.3173446950181324,0.49376310488378755,187.51960479266947,-0.010172791697017337,0.5003331246756828,-0.0016761903149690714,0.626859252309999,-0.000710690962222095,-0.0294738642921179,0.0003503002478370639,0,0.01263035943445793,1,0.0066911077078926195,1
286,17,13,1,0.09,0.118,1.2,1.456,0.4,0.6,0.0003753156023488583,0.0090075744563726,1,1,3,0.10258471315957246,1.3173446950181324,0.49376310488378755,202.53218777015755,-0.010172791697017337,0.5003331246756828,-0.0019510677663774725,0.6271341297614074,-0.0008483250271080409,-0.02915792066079761,0.0,0,0.006780606367292396,1,0.003498846859646241,1
287,17,14,1,0.09,0.118,1.2,1.456,0.4,0.6,0.0003753156023488583,0.0090075744563726,1,1,3,0.10258471315957246,1.3173446950181324,0.49376310488378755,217.59904283376503,-0.010172791697017337,0.5003331246756828,-0.0022481851486839868,0.6274312471437139,-0.0009636717484264817,-0.03003054926952158,0.0,0,0.0002216655753009957,0,0.0001150812335440455,0
288,17,15,1,0.09,0.118,1.2,1.456,0.4,0.6,0.0003753156023488583,0.0090075744563726,1,1,3,0.10258471315957246,1.3173446950181324,0.49376310488378755,232.60957025896866,-0.010172791697017337,0.5003331246756828,-0.0025653508892064625,0.6277484128842364,-0.0011033052508064498,-0.029619404052728893,0.0,0,0.0008740947008712185,0,0.00045125029058586493,0
289,17,16,2,0.09,0.118,1.2,1.456,0.4,0.6,0.0007506312046977167,0.0090075744563726,1,1,3,0.10258471315957246,1.3173446950181324,0.49376310488378755,256.03206106237224,-0.010172791697017337,0.5003331246756828,-0.003102430801476412,0.6282854927965064,-0.0012761355885302264,-0.030940373427243054,0.0006785009653759629,0,0.013156895697167102,1,0.007127921039550811,1
290,17,18,1,0.09,0.118,1.2,1.456,0.4,0.6,0.0003753156023488583,0.0090075744563726,1,1,3,0.10258471315957246,1.3173446950181324,0.49376310488378755,277.90159655528083,-0.010172791697017337,0.5003331246756828,-0.003650284430631546,0.6288333464256615,-0.0016046835171177676,-0.030380121100936665,0.0009708015968511108,0,0.02303884751506674,1,0.012347288576581737,1
291,17,19,1,0.09,0.118,1.2,1.456,0.4,0.6,0.0003753156023488583,0.0090075744563726,1,1,3,0.10258471315957246,1.3173446950181324,0.49376310488378755,293.05709077944994,-0.010172791697017337,0.5003331246756828,-0.0040562079064622655,0.6292392699014921,-0.001782915519525097,-0.031199146028276642,0.0006195838620881708,0,0.01478648344417442,1,0.007911662111511057,1
292,17,20,1,0.09,0.118,1.2,1.456,0.4,0.6,0.0003753156023488583,0.0090075744563726,1,1,3,0.10258471315957246,1.3173446950181324,0.49376310488378755,308.27843776111234,-0.010172791697017337,0.5003331246756828,-0.004485526304618077,0.629668588299648,-0.0019928866974858288,-0.031750055264119476,0.0012660172650821359,0,0.013006359408433369,1,0.007338585692815405,1
293,17,21,1,0.09,0.118,1.2,1.456,0.4,0.6,0.0003753156023488583,0.0090075744563726,1,1,3,0.10258471315957246,1.3173446950181324,0.49376310488378755,323.57338504472824,-0.010172791697017337,0.5003331246756828,-0.004938746806270125,0.6301218088013001,-0.0021570509897535116,-0.0327323595630768,0.0016497271062197321,1,0.027499551754839473,1,0.014988592546175598,1
294,17,22,1,0.09,0.118,1.2,1.456,0.4,0.6,0.0003753156023488583,0.0090075744563726,1,1,3,0.10258471315957246,1.3173446950181324,0.49376310488378755,339.14484322300325,-0.010172791697017337,0.5003331246756828,-0.005422626465732581,0.6306056884607625,-0.002400853370472841,-0.032627578396575325,0.00011681357643141627,0,0.004463714680383385,1,0.002365922903771087,1
295,17,23,1,0.09,0.118,1.2,1.456,0.4,0.6,0.0003753156023488583,0.0090075744563726,1,1,3,0.10258471315957246,1.3173446950181324,0.49376310488378755,357.56942272056165,-0.010172791697017337,0.5003331246756828,-0.006024428477100063,0.63120749047213,-0.0025937745568525776,-0.032575075903860294,0.0,0,0.0,0,0.0,0
296,18,0,1,0.09,0.118,1.2,1.456,0.6,0.8,0.0003753156023488583,0.0090075744563726,1,1,4,0.11002203579869696,1.2988444950316367,0.6521923553343896,4.36735193794641,-0.011769666685148436,0.5651753531876903,-0.004007001474160275,0.5018742536131442,-5.511590669190168e-07,-0.05377673144233041,0.0,0,5.527067778687504e-06,0,3.202029523835402e-06,0
297,18,1,1,0.09,0.118,1.2,1.456,0.6,0.8,0.0003753156023488583,0.0090075744563726,1,1,4,0.11002203579869696,1.2988444950316367,0.6521923553343896,20.96281284521566,-0.011769666685148436,0.5651753531876903,-0.004033224359562771,0.5019004764985467,-7.666558715093082e-06,-0.0526897282956818,0.0004045254630065272,0,0.007175283565747772,1,0.003901717475354139,1
298,18,2,1,0.09,0.118,1.2,1.456,0.6,0.8,0.0003753156023488583,0.0090075744563726,1,1,4,0.11002203579869696,1.2988444950316367,0.6521923553343896,36.44260716414014,-0.011769666685148436,0.5651753531876903,-0.004088657161616254,0.5019559093006002,-3.0553591410322296e-05,-0.05421651171133577,0.0020156545825662157,0,0.01945252219107736,1,0.011027055126355854,1
299,18,3,1,0.09,0.118,1.2,1.456,0.6,0.8,0.0003753156023488583,0.0090075744563726,1,1,4,0.11002203579869696,1.2988444950316367,0.6521923553343896,51.74460311054541,-0.011769666685148436,0.5651753531876903,-0.004172834447409401,0.5020400865863933,-6.691121895140813e-05,-0.054366270673090376,0.0009098215943279392,0,0.007675862859464672,1,0.004400144562545596,1
300,18,4,2,0.09,0.118,1.2,1.456,0.6,0.8,0.0007506312046977167,0.0090075744563726,1,1,4,0.11002203579869696,1.2988444950316367,0.6521923553343896,73.07785382895833,-0.011769666685148436,0.5651753531876903,-0.004338937464493233,0.5022061896034772,-0.00011707248156900292,-0.053699499715080964,0.00026225763384318134,0,0.007117493845418773,1,0.003798445027143254,1
301,18,6,1,0.09,0.118,1.2,1.456,0.6,0.8,0.0003753156023488583,0.0090075744563726,1,1,4,0.11002203579869696,1.2988444950316367,0.6521923553343896,97.24715995114725,-0.011769666685148436,0.5651753531876903,-0.004595709429096711,0.5024629615680807,-0.0002626952044858514,-0.053363212029847694,0.0,0,0.0006161419220796643,0,0.00032039203577387525,0
302,18,7,1,0.09,0.118,1.2,1.456,0.6,0.8,0.0003753156023488583,0.0090075744563726,1,1,4,0.11002203579869696,1.2988444950316367,0.6521923553343896,112.32011697775386,-0.011769666685148436,0.5651753531876903,-0.0047927258775655734,0.5026599780165495,-0.0003562575093386019,-0.05358550012348019,0.0,0,0.0,0,0.0,0
303,18,8,1,0.09,0.118,1.2,1.456,0.6,0.8,0.0003753156023488583,0.0090075744563726,1,1,4,0.11002203579869696,1.2988444950316367,0.6521923553343896,127.35974213791603,-0.011769666685148436,0.5651753531876903,-0.005017541451016558,0.5028847935900005,-0.0004503786038409479,-0.0535185659920801,7.332339386024902e-05,0,0.002615312463090589,0,0.001386757268665734,0
